date,hour,number,title,link
2026-03-18,23:32,5/2026,Foothills SA - Raport roczny,https://espiebi.pap.pl/node/644780
2026-03-18,23:16,14/2026,"CI GAMES S.E. - Zakończenie procesu przyspieszonej budowy księgi popytu w ramach oferty publicznej akcji nowej
emisji na okaziciela serii M Spółki. Ustalenie ceny emisyjnej akcji serii M Spółki. Zawarcie aneksu cenowego
do umowy plasowania akcji.",https://espiebi.pap.pl/node/717174
2026-03-18,22:48,1/2026,YBS S.A. - Wyksięgowanie przeterminowanych zobowiązań i rozwiązanie rezerw,https://espiebi.pap.pl/node/717173
2026-03-18,22:03,4/2026,Universe SA - Raport roczny,https://espiebi.pap.pl/node/644779
2026-03-18,21:55,11/2026,AB S.A. - Powołanie Zarządu nowej kadencji,https://espiebi.pap.pl/node/717172
2026-03-18,21:53,13/2026,Sygnis S.A. - Złożenie wniosku o wyznaczenie pierwszego dnia notowania akcji serii E1 i E2,https://espiebi.pap.pl/node/717171
2026-03-18,21:16,3/2026,Pointpack SA - Zmiana harmonogramu publikacji raportów okresowych,https://espiebi.pap.pl/node/644778
2026-03-18,20:57,6/2026,NWAI Dom Maklerski SA - Wystąpienie przez emitenta z wnioskiem do właściwego organu nadzoru o zatwierdzenie odpowiedniego publicznego dokumentu informacyjnego,https://espiebi.pap.pl/node/644777
2026-03-18,20:18,2/2026,GRUPA KLEPSYDRA S.A. - Zawarcie umowy kredytu inwestycyjnego z PKO Bank Polski S.A.,https://espiebi.pap.pl/node/717170
2026-03-18,20:11,7/2026,ENERGY S.A. - Zawarcie umowy na wykonanie instalacji fotowoltaicznej,https://espiebi.pap.pl/node/717169
2026-03-18,20:06,2/2026,Console Labs SA - Zmiana harmonogramu publikacji raportów okresowych,https://espiebi.pap.pl/node/644776
2026-03-18,19:22,17/2026,GREEN LANES S.A. - Uchylenie uchwały w sprawie emisji akcji serii G i podjęcie nowej uchwały emisyjnej w ramach kapitału docelowego,https://espiebi.pap.pl/node/717168
2026-03-18,19:08,10/2026,ASSECO POLAND - Uchwały podjęte przez Nadzwyczajne Walne Zgromadzenie Asseco Poland S.A. w dniu 18 marca 2026 r.,https://espiebi.pap.pl/node/717167
2026-03-18,18:58,6/2026,EKO EXPORT S.A. W RESTRUKTURYZACJI - Zmiana terminu przekazania raportów okresowych.,https://espiebi.pap.pl/node/717166
2026-03-18,18:51,18/2026,"Zortrax SA - Rejestracja przez sąd zmiany statutu emitenta lub odmowie takiej rejestracji, z podaniem przyczyn odmowy",https://espiebi.pap.pl/node/644775
2026-03-18,18:41,10/2026,PURE BIOLOGICS S.A. - Zawiadomienie akcjonariusza o zmianie stanu posiadania akcji Spółki,https://espiebi.pap.pl/node/717165
2026-03-18,18:37,5/2026,IMPERIO ASI S.A. - Zawiadomienia akcjonariuszy o zmianie udziału w ogólnej liczbie głosów,https://espiebi.pap.pl/node/717164
2026-03-18,18:13,6/2026,FIGENE CAPITAL S.A. - Treść uchwał podjętych na Nadzwyczajnym Walnym Zgromadzeniu FIGENE CAPITAL S.A. w dniu 18 marca 2026 r. wznowionym po przerwie,https://espiebi.pap.pl/node/717163
2026-03-18,18:11,2/2026,PCF GROUP S.A. - Zmiana daty przekazania raportów rocznych za rok 2025,https://espiebi.pap.pl/node/717162
2026-03-18,18:01,56/2026,MONNARI TRADE S.A. - Skup akcji własnych,https://espiebi.pap.pl/node/717161
2026-03-18,17:58,,DADELO S.A. - RR,https://espiebi.pap.pl/node/717160
2026-03-18,17:52,12/2026,PARTNER-NIERUCHOMOŚCI S.A. - Ogłoszenie o zwołaniu Nadzwyczajnego Walnego Zgromadzenia Spółki,https://espiebi.pap.pl/node/717159
2026-03-18,17:42,22/2026,PKP CARGO S.A. W RESTRUKTURYZACJI - Powiadomienie o transakcjach na akcjach Emitenta uzyskane w trybie art. 19 MAR,https://espiebi.pap.pl/node/717158
2026-03-18,17:39,4/2026,WAWEL SA - Wybór podmiotu uprawnionego do badania sprawozdań finansowych  oraz atestacji sprawozdawczości zrównoważonego rozwoju,https://espiebi.pap.pl/node/717157
2026-03-18,17:37,3/2026,WAWEL SA - Deklaracja dywidendy - rekomendacja Rady Nadzorczej Emitenta,https://espiebi.pap.pl/node/717156
2026-03-18,17:34,2/2026,WAWEL SA - Deklaracja dywidendy - uchwała Zarządu,https://espiebi.pap.pl/node/717155
2026-03-18,17:32,3/2026,BOŚ SA - Wybór podmiotu uprawnionego do badania sprawozdań finansowych,https://espiebi.pap.pl/node/717154
2026-03-18,17:25,6/2026,BEST - Podsumowanie oferty obligacji serii AF1,https://espiebi.pap.pl/node/717153
2026-03-18,17:22,21/2026,PKP CARGO S.A. W RESTRUKTURYZACJI - Postanowienie Sędziego-Komisarza w przedmiocie zatwierdzenia Planu Restrukturyzacyjnego PKP CARGO S.A. w restrukturyzacji,https://espiebi.pap.pl/node/717152
2026-03-18,17:16,,MEDINICE S.A. - Skonsolidowany raport roczny  SRR,https://espiebi.pap.pl/node/717151
2026-03-18,17:14,,MEDINICE S.A. - RR,https://espiebi.pap.pl/node/717150
2026-03-18,17:13,13/2026,CI GAMES S.E. - Rozpoczęcie procesu przyspieszonej budowy księgi popytu w ramach oferty publicznej nowych akcji na okaziciela serii M Spółki. Podjęcie uchwały zarządu o podwyższeniu kapitału zakładowego w granicach kapitału docelowego. Zawarcie umowy plasowania akcji.,https://espiebi.pap.pl/node/717149
