date,hour,number,title,link
2026-01-21,23:33,1/2026,MVA GREEN ENERGY S.A. - Otrzymanie zawiadomień sporządzonych na podstawie art. 69 ust. 1 w zw. z art. 87 ust. 1 pkt 4 ustawy o ofercie,https://espiebi.pap.pl/node/713589
2026-01-21,21:55,3/2026,"MegaPixel Studio SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/643775
2026-01-21,21:51,2/2026,MEGA PIXEL STUDIO S.A. - Korekta załączników ogłoszenia o zwołaniu Nadzwyczajnego Walnego Zgromadzenia MegaPixel Studio S.A.,https://espiebi.pap.pl/node/713588
2026-01-21,21:44,3/2026,MEGA PIXEL STUDIO S.A. - Korekta planu połączenia oraz projektów uchwał w sprawie połączenia z Forever Entertainment S.A.,https://espiebi.pap.pl/node/713587
2026-01-21,21:18,2/2026,Arlen S.A. - Zawarcie Umowy Inwestycyjnej i Umowy Wspólników,https://espiebi.pap.pl/node/713586
2026-01-21,21:15,3/2026,"Forever Entertainment SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/643774
2026-01-21,21:09,1/2026,AB SA - Informacja o stanie stosowania Dobrych Praktyk 2021,https://espiebi.pap.pl/node/643773
2026-01-21,21:09,2/2026,FOREVER ENTERTAINMENT S.A. - Korekta załączników ogłoszenia o zwołaniu Nadzwyczajnego Walnego Zgromadzenia Forever Entertainment S.A.,https://espiebi.pap.pl/node/713585
2026-01-21,21:00,4/2026,FOREVER ENTERTAINMENT S.A. - Korekta planu połączenia oraz projektów uchwał w sprawie połączenia z MegaPixel Studio S.A.,https://espiebi.pap.pl/node/713584
2026-01-21,20:57,4/2026,"Proguns Group SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/643772
2026-01-21,20:53,1/2026,GAMES OPERATORS S.A. - Zawiadomienie o nabyciu akcji przez osoby pełniące obowiązki zarządcze,https://espiebi.pap.pl/node/713583
2026-01-21,20:49,8/2026,PROGUNS GROUP S.A. - Zwołanie Nadzwyczajnego Walnego Zgromadzenia na dzień 17 lutego 2026 roku,https://espiebi.pap.pl/node/713582
2026-01-21,20:49,3/2026,QUERCUS TFI S.A. - Asymilacja i ustalenie daty pierwszego notowania akcji Quercus TFI S.A. po asymilacji,https://espiebi.pap.pl/node/713581
2026-01-21,20:33,1/2026,XPLUS S.A. - Terminy przekazywania raportów okresowych w 2026 roku,https://espiebi.pap.pl/node/713580
