date,hour,number,title,link
2026-07-28,23:00,19/2026,LARQ S.A. - Wykaz akcjonariuszy posiadających co najmniej 5% ogólnej liczby głosów podczas obrad drugiej części Zwyczajnego Walnego Zgromadzenia z 28 lipca 2026 r.,https://espiebi.pap.pl/node/733280
2026-07-28,22:43,18/2026,LARQ S.A. - Treść uchwał podjętych podczas obrad drugiej części Zwyczajnego Walnego Zgromadzenia 28 lipca 2026 r.,https://espiebi.pap.pl/node/733279
2026-07-28,21:52,6/2026,"PRIMA MODA S.A. - Zmiana terminu publikacji raportów: H1/2023, Q3/2023, Q1/2024, H1/2024, Q3/2024, Q1/2025, H1/2025, Q3/2025, Q1/2026, 1H2026 oraz rocznych 2022, 2023, 2024 i 2025",https://espiebi.pap.pl/node/733278
2026-07-28,20:58,33/2026,HERKULES S.A. - Otrzymanie przez Emitenta powiadomienia o transakcjach nabycia akcji Spółki przez osobę pełniącą obowiązki zarządcze,https://espiebi.pap.pl/node/733277
2026-07-28,20:02,17/2026,EUROCASH - Powołanie Członka Zarządu Spółki,https://espiebi.pap.pl/node/733276
2026-07-28,19:50,37/2026,ALLEGRO.EU S.A. - Powiadomienie o transakcjach otrzymane zgodnie z art. 19 MAR,https://espiebi.pap.pl/node/733275
2026-07-28,19:45,16/2026,EUROCASH - Rezygnacja Członka Zarządu Spółki,https://espiebi.pap.pl/node/733274
2026-07-28,17:46,110/2026,MONNARI TRADE S.A. - Skup akcji własnych,https://espiebi.pap.pl/node/733273
2026-07-28,17:23,22/2026,mcr S.A. - Otrzymanie zawiadomienia dotyczącego wysokości skonsolidowanej EBITDA oraz podjęcie uchwały Zarządu Spółki w przedmiocie podjęcia czynności zmierzających do zakwestionowania otrzymanego wyliczenia,https://espiebi.pap.pl/node/733272
2026-07-28,17:21,18/2026,"Nestmedic SA - Rejestracja przez sąd zmiany statutu emitenta lub odmowie takiej rejestracji, z podaniem przyczyn odmowy",https://espiebi.pap.pl/node/733271
2026-07-28,17:20,,INVESTOR GOLD FIZ - FIZ-Q-E_01.07.21,https://espiebi.pap.pl/node/733270
2026-07-28,17:19,,INVESTOR CENTRAL AND EASTERN EUROPE FIZ - FIZ-Q-E_01.07.21,https://espiebi.pap.pl/node/733269
2026-07-28,17:18,17/2026,WIKANA - Oferta zakupu akcji WIKANA S.A.,https://espiebi.pap.pl/node/733268
2026-07-28,17:17,,INVESTOR FIZ - FIZ-Q-E_01.07.21,https://espiebi.pap.pl/node/733267
2026-07-28,17:17,23/2026,LexBono SA - Odwołanie lub rezygnacja osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/733266
2026-07-28,17:12,20/2026,YARRL S.A. - Zwołanie Nadzwyczajnego Walnego Zgromadzenia na dzień 25 sierpnia 2026 r.,https://espiebi.pap.pl/node/733265
2026-07-28,17:06,40/2026,BUDIMEX - Wybrane dane finansowe Grupy Budimex za pierwsze półrocze 2026 roku,https://espiebi.pap.pl/node/733264
2026-07-28,17:05,5/2026,hiPower Energy S.A. - Zawarcie umowy o dofinansowanie w ramach programu Fundusze Europejskie dla Nowoczesnej Gospodarki 2021-2027 [FENG] - działanie Granty na Eurogranty,https://espiebi.pap.pl/node/733263
2026-07-28,17:02,20/2026,Emplocity S.A. - Otrzymanie korekty zawiadomień o transakcjach na akcjach Spółki od osób zobowiązanych,https://espiebi.pap.pl/node/733262
2026-07-28,16:56,55/2026,DEKPOL S.A. - Zawarcie przez spółkę zależną aneksu do umowy ramowej dla linii wieloproduktowej z mBank S.A.,https://espiebi.pap.pl/node/733261
2026-07-28,16:55,11/2026,ZPC OTMUCHÓW S.A. - Korekta dotyczy wyłącznie metadanych,https://espiebi.pap.pl/node/733260
2026-07-28,16:42,50/2026,MOSTALWAR - Zgłoszenie przez akcjonariusza projektów uchwał dotyczących spraw objętych porządkiem obrad NWZ.,https://espiebi.pap.pl/node/733259
2026-07-28,16:35,28/2026,POLIMEX-MOSTOSTAL - Wydanie akcji zwykłych na okaziciela serii S i zmiana wysokości kapitału zakładowego.,https://espiebi.pap.pl/node/733258
2026-07-28,16:33,11/2026,GRUPA MODNE ZAKUPY S.A. - Wykaz akcjonariuszy posiadających co najmniej 5% głosów na Zwyczajnym Walnym Zgromadzeniu Spółki w dniu 28 lipca 2026 r.,https://espiebi.pap.pl/node/733257
2026-07-28,16:27,21/2026,Grupa Modne Zakupy SA - Informacje o walnym zgromadzeniu - treść uchwał podjętych przez WZ (w tym informacje o ogłoszeniu przerwy w obradach),https://espiebi.pap.pl/node/733256
2026-07-28,16:14,12/2026,Dr. Miele Cosmed Group S.A. - Zawarcie przez Emitenta umowy znaczącej,https://espiebi.pap.pl/node/733255
2026-07-28,16:10,33/2026,VOTUM S.A. - Zawarcie warunkowej umowy sprzedaży nieruchomości przez Spółkę zależną,https://espiebi.pap.pl/node/733254
2026-07-28,16:09,16/2026,FEERUM S.A. - Udzielenie przez KUKE gwarancji ubezpieczeniowej gwarantowanej przez Skarb Państwa,https://espiebi.pap.pl/node/733253
2026-07-28,15:51,9/2026,REINO CAPITAL SA - Uzgodnienie wstępnych warunków transakcji nabycia do 100% udziałów spółki prowadzącej działalność na rynku usług facility management,https://espiebi.pap.pl/node/733252
2026-07-28,15:42,11/2026,CAPITAL - Podwyższenie kapitału zakładowego w spółce zależnej Bumech Defense sp. z o.o.,https://espiebi.pap.pl/node/733251
2026-07-28,15:33,24/2026,KRAKCHEMIA S.A. - Zawiadomienie w sprawie znacznego pakietu akcji,https://espiebi.pap.pl/node/733250
2026-07-28,15:24,34/2026,SUNEX S.A. - Nałożenie kary pieniężnej przez KNF,https://espiebi.pap.pl/node/733249
2026-07-28,15:05,36/2026,ALLEGRO.EU S.A. - Powiadomienie o transakcji otrzymane zgodnie z art. 19 MAR,https://espiebi.pap.pl/node/733248
2026-07-28,14:56,5/2026,GRUPA FORTE S.A. - Pierwsze zawiadomienie akcjonariuszy o zamiarze połączenia Grupy Forte S.A. z DYSTRI-FORTE sp. z o.o.,https://espiebi.pap.pl/node/733247
2026-07-28,14:51,22/2026,TESGAS S.A. - Zawarcie umowy znaczącej ze spółką OGP Gaz - System S.A.,https://espiebi.pap.pl/node/733246
2026-07-28,14:49,12/2026,STALPRODUKT - Korekta Raportu bieżącego nr 12 z dnia 14.07.2026 r. - dotyczy wyłącznie metadanych,https://espiebi.pap.pl/node/733245
2026-07-28,14:29,10/2026,"FARMY FOTOWOLTAIKI POLSKA S.A. - Wykaz akcjonariuszy posiadających co najmniej 5% liczby głosów na Zwyczajnym Walnym Zgromadzeniu, które odbyło się w dniu 28 lipca 2026 roku",https://espiebi.pap.pl/node/733244
2026-07-28,14:28,26/2026,ZREMB-CHOJNICE S.A. - Otrzymanie zamówienia w nowym segmencie działalności związanym z obsługą podwodnych pojazdów ROV (Remotely Operated Vehicles) na statkach serwisowych.,https://espiebi.pap.pl/node/733243
2026-07-28,14:27,147/2026,BETA ETF TBSP IPORTFELOWY FIZ - Raport bieżący nr 147 / 2026,https://espiebi.pap.pl/node/733242
2026-07-28,14:26,44/2026,ENERGA S.A. - Dopuszczenie i wprowadzenie do obrotu giełdowego na Głównym Rynku GPW  akcji zwykłych na okaziciela serii CC spółki ENERGA S.A.,https://espiebi.pap.pl/node/733241
2026-07-28,14:24,9/2026,Farmy Fotowoltaiki Polska SA - Informacje o walnym zgromadzeniu - treść uchwał podjętych przez WZ (w tym informacje o ogłoszeniu przerwy w obradach),https://espiebi.pap.pl/node/733240
2026-07-28,14:09,45/2026,NEUCA - Transakcje na akcjach,https://espiebi.pap.pl/node/733239
2026-07-28,14:00,12/2026,QNA Technology S.A. - Rejestracja zmian statutu Spółki,https://espiebi.pap.pl/node/733238
2026-07-28,13:52,12/2026,ZPC OTMUCHÓW S.A. - Rezygnacja Prezesa Zarządu ZPC Otmuchów S.A.,https://espiebi.pap.pl/node/733237
2026-07-28,13:27,30/2026,DEFENCE.HUB S.A. - Zmiana stanu posiadania,https://espiebi.pap.pl/node/733236
2026-07-28,13:23,49/2026,DEVELIA - Informacja o rejestracji zmian w statucie Emitenta,https://espiebi.pap.pl/node/733235
2026-07-28,13:20,149/2026,BETA ETF BITCOIN PORTFELOWY FIZ - Raport bieżący nr 149 / 2026,https://espiebi.pap.pl/node/733234
