date,hour,number,title,link
2026-07-08,23:55,7/2026,Longterm Games SA - Powołanie osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/647465
2026-07-08,22:47,18/2026,BeLeaf SA - Powołanie osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/647464
2026-07-08,22:39,16/2026,ECL SA - Powołanie osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/647463
2026-07-08,21:51,14/2026,LUG S.A. - Złożenie propozycji układowych przez spółkę zależną BIOT Sp. z o.o.,https://espiebi.pap.pl/node/727657
2026-07-08,21:44,15/2026,ECL SA - Odwołanie lub rezygnacja osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/647462
2026-07-08,21:26,24/2026,Intermarum SA - Zmiana harmonogramu publikacji raportów okresowych,https://espiebi.pap.pl/node/647461
2026-07-08,21:19,14/2026,ECL SA - Informacje udzielone akcjonariuszowi poza WZ na podstawie art. 428 § 5 lub 6 ksh lub art. 429 § 1 lub 2 ksh,https://espiebi.pap.pl/node/647460
2026-07-08,21:11,15/2026,ECL S.A. - Zawarcie umów nabycia 75.000 akcji SatRev S.A.,https://espiebi.pap.pl/node/727656
2026-07-08,20:28,38/2026,PEKABEX - Zawarcie transakcji zabezpieczających przed ryzykiem kursowym przy realizacji kontraktu,https://espiebi.pap.pl/node/727655
2026-07-08,20:15,31/2026,STALEXPORT AUTOSTRADY - Podjęcie przez Zarząd uchwały o zwołaniu Nadzwyczajnego Walnego Zgromadzenia Spółki i przyjęciu treści projektu uchwały Walnego Zgromadzenia w sprawie obniżenia kapitału zakładowego i zmiany Statutu Spółki,https://espiebi.pap.pl/node/727654
2026-07-08,19:51,41/2026,MODIVO S.A. - Przedłużenie okresu kredytowania w ramach Umowy Kredytów z 12 lipca 2024 r. oraz przedłużenie finansowania kredytowego spółki zależnej Emitenta,https://espiebi.pap.pl/node/727653
2026-07-08,19:43,16/2026,CELON PHARMA S.A. - Oświadczenie KDPW o dokonaniu asymilacji 55.000 akcji serii C z akcjami Spółki znajdującymi się w obrocie giełdowym,https://espiebi.pap.pl/node/727652
2026-07-08,19:30,12/2026,E-XIM IT S.A. - Informacje o transakcjach na instrumentach finansowych Emitenta uzyskana w trybie art. 19 MAR,https://espiebi.pap.pl/node/727651
2026-07-08,19:20,17/2026,"LOKUM DEWELOPER S.A. - Powiadomienie o transakcjach, o którym mowa w art. 19 ust. 1 rozporządzenia MAR",https://espiebi.pap.pl/node/727650
2026-07-08,18:56,50/2026,DEKPOL S.A. - Zawarcie listu intencyjnego dotyczącego budowy centrum dystrybucyjnego w woj. wielkopolskim,https://espiebi.pap.pl/node/727649
2026-07-08,18:52,14/2026,AQUA S.A. - Informacja o wyborze oferty do istotnej umowy,https://espiebi.pap.pl/node/727648
2026-07-08,18:51,96/2026,MONNARI TRADE S.A. - Skup akcji własnych,https://espiebi.pap.pl/node/727647
2026-07-08,18:46,51/2026,NIEWIADÓW POLSKA GRUPA MILITARNA S.A. - Rejestracja przez Sąd Rejestrowy zmiany Statutu Spółki,https://espiebi.pap.pl/node/727646
2026-07-08,18:38,30/2026,Arts Alliance S.A. - Podpisanie listu intencyjnego dotyczącego potencjalnej inwestycji w technologię systemu analizy danych satelitarnych NOMA,https://espiebi.pap.pl/node/727645
2026-07-08,18:23,40/2026,NEUCA - Transakcje na akvcjach,https://espiebi.pap.pl/node/727644
