date,hour,number,title,link
2026-02-23,22:38,4/2026,ECNOLOGY GROUP S.A. - Powiadomienia o transakcjach w trybie art. 19 MAR,https://espiebi.pap.pl/node/715627
2026-02-23,22:32,3/2026,ECNOLOGY GROUP S.A. - Zawiadomienia Mar 19 23.02.2026,https://espiebi.pap.pl/node/715626
2026-02-23,21:53,6/2026,PCC ROKITA S.A. - Asymilacja akcji zwykłych na okaziciela,https://espiebi.pap.pl/node/715625
2026-02-23,21:45,7/2026,ECL S.A. - Zawiadomienie w trybie art. 69 ustawy o ofercie publicznej,https://espiebi.pap.pl/node/715624
2026-02-23,21:34,2/2026,AIRWAY MEDIX S.A. - Aktualizacja informacji w sprawie zasad spłaty zadłużenia względem Discount Banku.,https://espiebi.pap.pl/node/715623
2026-02-23,20:59,10/2026,GREEN LANES S.A. - Zawarcie aneksu do umowy pożyczki,https://espiebi.pap.pl/node/715622
2026-02-23,20:26,4/2026,"MILISYSTEM S.A. - Lista akcjonariuszy, którzy wzięli udział w Walnym Zgromadzeniu oraz mieli co najmniej 5% głosów",https://espiebi.pap.pl/node/715621
2026-02-23,20:25,9/2026,THE FARM 51 GROUP S.A. - Zawarcie umowy z nadzorcą układu i obwieszczenie o ustaleniu dnia układowego w postępowaniu o zatwierdzenie układu,https://espiebi.pap.pl/node/715620
2026-02-23,20:23,7/2026,Milisystem SA - Powołanie osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/644533
2026-02-23,20:20,6/2026,Milisystem SA - Informacje o walnym zgromadzeniu - informacje po odbyciu WZ (w tym ogłoszenie przerwy) - uchwały,https://espiebi.pap.pl/node/644532
2026-02-23,20:19,8/2026,THE FARM 51 GROUP S.A. - Złożenie oświadczenia o uchyleniu się od skutków prawnych wybranych oświadczeń woli oraz wezwanie do zwrotu świadczeń,https://espiebi.pap.pl/node/715619
2026-02-23,19:50,39/2026,MONNARI TRADE S.A. - Skup akcji własnych,https://espiebi.pap.pl/node/715618
2026-02-23,19:40,7/2026,CTE Group SA - Odwołanie lub rezygnacja osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/644531
2026-02-23,19:24,11/2026,GRUPA AZOTY SA - Projekty uchwał Nadzwyczajnego Walnego Zgromadzenia Grupy Azoty S.A. zwołanego na dzień 23 marca 2026 roku,https://espiebi.pap.pl/node/715617
2026-02-23,19:22,,MBANK HIPOTECZNY - RR,https://espiebi.pap.pl/node/715616
2026-02-23,19:22,5/2026,BTC Studios SA - Powołanie osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/644530
2026-02-23,19:21,,MBANK HIPOTECZNY - RR,https://espiebi.pap.pl/node/715615
2026-02-23,19:20,10/2026,GRUPA AZOTY SA - Zwołanie Nadzwyczajnego Walnego Zgromadzenia Grupy Azoty S.A. na dzień 23 marca 2026 roku,https://espiebi.pap.pl/node/715614
2026-02-23,19:17,4/2026,Atomic Jelly SA - Odwołanie lub rezygnacja osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/644529
2026-02-23,19:13,18/2026,UniCredit - UniCredit S.p.A. Board of Directors approves draft Company's Financial Statements and Consolidated Financial Statements as of 31 December 2025,https://espiebi.pap.pl/node/715613
2026-02-23,19:00,5/2026,CLOUD TECHNOLOGIES S.A. - Szacunkowa miesięczna dynamika sprzedaży danych do kluczowych klientów za grudzień 2025 roku,https://espiebi.pap.pl/node/715612
