date,hour,number,title,link
2025-12-29,23:34,101/2025,UniCredit - UniCredit: update on the execution of the share buy-back programme during the period from 22 December 2025 to 23 December 2025,https://espiebi.pap.pl/node/709408
2025-12-29,23:23,4/2025,BTC Studios SA - Powołanie osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/643487
2025-12-29,23:20,3/2025,BTC Studios SA - Odwołanie lub rezygnacja osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/643486
2025-12-29,21:51,9/2025,Zortrax SA w restrukturyzacji - Powołanie osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/643485
2025-12-29,21:32,26/2025,ZORTRAX S.A. - Wykaz akcjonariuszy posiadających co najmniej 5% głosów na Nadzwyczajnym Walnym Zgromadzeniu w dniu 23 grudnia 2025 r.,https://espiebi.pap.pl/node/709407
2025-12-29,20:57,27/2025,VRFABRIC SA - Powiadomienie o transakcjach na akcjach Spółki przez osobę pełniącą obowiązki zarządcze w Spółce,https://espiebi.pap.pl/node/709406
2025-12-29,20:40,27/2025,YARRL S.A. - Akcjonariusze obecni na NWZ Spółki yarrl S.A. w dniu 29 grudnia 2025 roku posiadający co najmniej 5% liczby głosów,https://espiebi.pap.pl/node/709405
2025-12-29,20:37,26/2025,YARRL S.A. - Treść uchwał podjętych przez Nadzwyczajne Walne Zgromadzenie w dniu 29 grudnia 2025 r.,https://espiebi.pap.pl/node/709404
2025-12-29,20:33,1/2025,"Nestmedic SA - Rejestracja przez sąd zmiany statutu emitenta lub odmowie takiej rejestracji, z podaniem przyczyn odmowy",https://espiebi.pap.pl/node/643484
2025-12-29,19:47,57/2025,PASSUS S.A. - Zawarcie umowy znaczącej,https://espiebi.pap.pl/node/709403
2025-12-29,19:47,169/2025,MONNARI TRADE S.A. - Skup akcji własnych,https://espiebi.pap.pl/node/709402
2025-12-29,19:46,29/2025,QNA Technology S.A. - Dopuszczenie i warunkowe wprowadzenie akcji zwykłych na okaziciela serii G Spółki do obrotu giełdowego na głównym rynku GPW,https://espiebi.pap.pl/node/709401
2025-12-29,19:15,14/2025,"Frozen Way S.A. - Jednorazowe rozliczenie kosztów produkcji ""Campus Life"" w wersji na PC w 2025 roku",https://espiebi.pap.pl/node/709400
2025-12-29,19:12,34/2025,THE FARM 51 GROUP S.A. - Zawarcie umów zastawu cywilnego i rejestrowego na autorskich prawach majątkowych do gry komputerowej pod nazwą Chernobylite 1 oraz 2,https://espiebi.pap.pl/node/709399
2025-12-29,19:07,40/2025,ZE PAK S.A. - Zmiana na stanowisku Prezesa Zarządu spółki ZE PAK S.A.,https://espiebi.pap.pl/node/709398
2025-12-29,19:06,39/2025,ZE PAK S.A. - Zmiany w składzie Rady Nadzorczej ZE PAK SA,https://espiebi.pap.pl/node/709397
2025-12-29,18:49,14/2025,STARWARD INDUSTRIES S.A. - Zawiadomienie akcjonariusza o zmniejszeniu udziału w ogólnej liczbie głosów w Spółce,https://espiebi.pap.pl/node/709396
2025-12-29,18:43,40/2025,ANSWEAR.COM S.A. - Otrzymanie zawiadomienia na podstawie art. 69 ustawy o ofercie publicznej i warunkach wprowadzania instrumentów finansowych do zorganizowanego systemu obrotu oraz o spółkach publicznych.,https://espiebi.pap.pl/node/709395
2025-12-29,18:29,59/2025,BBI DEVELOPMENT SA - Nabycie akcji w ramach programu skupu akcji własnych,https://espiebi.pap.pl/node/709394
2025-12-29,18:12,66/2025,PEKABEX - Zawarcie transakcji zabezpieczających przed ryzykiem kursowym przy realizacji kontraktu,https://espiebi.pap.pl/node/709393
2025-12-29,18:10,2/2025,Cyfrowy Polsat SA - Informacja dotycząca incydentalnego naruszenia Dobrych Praktyk 2021,https://espiebi.pap.pl/node/643483
2025-12-29,18:05,32/2025,CANNABIS POLAND S.A. - Nabycie udziałów Certis Pharma sp. z o.o.,https://espiebi.pap.pl/node/709392
2025-12-29,18:02,1/2025,Cyfrowy Polsat SA - Informacja o stanie stosowania Dobrych Praktyk 2021,https://espiebi.pap.pl/node/643482
2025-12-29,18:00,23/2025,HEMP & HEALTH S.A. - Zbycie udziałów Certis Pharma sp. z o.o.,https://espiebi.pap.pl/node/709391
2025-12-29,18:00,31/2025,CANNABIS POLAND S.A. - Nabycie akcji THC Pharma S.A.,https://espiebi.pap.pl/node/709390
2025-12-29,17:59,22/2025,HEMP & HEALTH S.A. - Zbycie akcji THC Pharma S.A.,https://espiebi.pap.pl/node/709389
2025-12-29,17:49,134/2025,"PKP CARGO S.A. W RESTRUKTURYZACJI - Uchwały podjęte przez Nadzwyczajne Walne Zgromadzenie PKP CARGO S.A. w restrukturyzacji oraz treść projektu uchwały poddanej pod głosowanie, która nie została podjęta",https://espiebi.pap.pl/node/709388
2025-12-29,17:48,4/2025,BTCS SA - Informacje o walnym zgromadzeniu - informacje po odbyciu WZ (w tym ogłoszenie przerwy) - uchwały,https://espiebi.pap.pl/node/643481
2025-12-29,17:42,20/2025,VEE S.A. - Zawiadomienie od akcjonariusza Vee S.A. - zmiana udziału w akcjonariacie Spółki,https://espiebi.pap.pl/node/709387
2025-12-29,17:39,11/2025,RELPOL - Nabycie akcji spółki przez Członka Rady Nadzorczej,https://espiebi.pap.pl/node/709386
2025-12-29,17:36,19/2025,VEE S.A. - Zawiadomienie od akcjonariusza Vee S.A. - zmiana udziału w akcjonariacie Spółki,https://espiebi.pap.pl/node/709385
2025-12-29,17:19,48/2025,LOKUM DEWELOPER S.A. - Zawarcie umowy kredytowej przez spółkę zależną Emitenta oraz ustanowienie zabezpieczeń na rzecz banku,https://espiebi.pap.pl/node/709384
2025-12-29,17:18,33/2025,CYFROWY POLSAT S.A. - Lista akcjonariuszy posiadających co najmniej 5% liczby głosów na Nadzwyczajnym Walnym Zgromadzeniu Cyfrowego Polsatu S.A. zwołanym na dzień 29 grudnia 2025 roku,https://espiebi.pap.pl/node/709383
2025-12-29,17:10,32/2025,CYFROWY POLSAT S.A. - Powołanie Członków Zarządu spółki Cyfrowy Polsat S.A.,https://espiebi.pap.pl/node/709382
2025-12-29,17:09,23/2025,KUBOTA S.A. - Realizacja skupu akcji własnych,https://espiebi.pap.pl/node/709381
2025-12-29,17:07,4/2025,"- Emisja obligacji, obligacji zamiennych na akcje, obligacji z prawem pierwszeństwa oraz obligacji przychodowych",https://espiebi.pap.pl/node/643480
2025-12-29,17:07,20/2025,CD PROJEKT SA - Temat: Zawarcie umowy sprzedaży 100% udziałów w GOG sp. z o.o. na rzecz Michała Kicińskiego,https://espiebi.pap.pl/node/709380
2025-12-29,17:05,19/2025,CD PROJEKT SA - Ujawnienie informacji poufnej dotyczącej rozpoczęcia negocjacji dotyczących umowy sprzedaży 100% udziałów w GOG sp. z o.o. na rzecz Michała Kicińskiego,https://espiebi.pap.pl/node/709379
2025-12-29,16:51,59/2025,"PUŁAWY - Powołanie Członków Zarządu Grupy Azoty Zakłady Azotowe ""Puławy"" S.A. nowej kadencji oraz rezygnacja Członka Rady Nadzorczej.",https://espiebi.pap.pl/node/709378
2025-12-29,16:43,38/2025,ZE PAK S.A. - Uchwały podjęte przez Nadzwyczajne Walne Zgromadzeni ZE PAK SA po wznowieniu obrad w dniu 29 grudnia 2025 roku,https://espiebi.pap.pl/node/709377
2025-12-29,16:41,36/2025,SKARBIEC HOLDING S.A. - Informacja o transakcji na akcjach Spółki uzyskana w trybie art. 19 MAR,https://espiebi.pap.pl/node/709376
2025-12-29,16:37,33/2025,WISE ENERGY S.A. - Informacja dotycząca aktualizacji strategii działalności i rozwoju Spółki na lata 2025-2028,https://espiebi.pap.pl/node/709375
2025-12-29,16:36,31/2025,AGORA - Akcjonariusze posiadający co najmniej 5% głosów na Nadzwyczajnym Walnym Zgromadzeniu Agory S.A. w dniu 29 grudnia 2025 r.,https://espiebi.pap.pl/node/709374
2025-12-29,16:29,15/2025,TELGAM S.A. - Transakcje zrealizowane przez osoby pełniące obowiązki zarządcze,https://espiebi.pap.pl/node/709373
2025-12-29,16:25,30/2025,AGORA - Uchwały podjęte podczas Nadzwyczajnego Walnego Zgromadzenia w dniu 29 grudnia 2025 r.,https://espiebi.pap.pl/node/709372
2025-12-29,16:17,19/2025,KANCELARIA MEDIUS S.A. - Transakcja osoby blisko związanej z osobami pełniącymi obowiązki zarządcze,https://espiebi.pap.pl/node/709371
2025-12-29,16:17,24/2025,KCI - wypowiedzenie Umowy warunkowej licencji praw do znaków towarowych z dnia 12 stycznia 2022 r.,https://espiebi.pap.pl/node/709370
2025-12-29,16:16,65/2025,ROCKBRIDGE FIZ MULTI INWESTYCJA - WANCI-E_30.04.18,https://espiebi.pap.pl/node/709369
2025-12-29,16:07,26/2025,KOMPAP - Nabycie akcji przez Prezesa Zarządu,https://espiebi.pap.pl/node/709368
2025-12-29,15:29,114/2025,DEVELIA - Nabycie nieruchomości przez spółkę zależną od Emitenta,https://espiebi.pap.pl/node/709367
2025-12-29,15:28,122/2025,JSW S.A. - Powołanie Członka Rady Nadzorczej JSW S.A. - uzupełnienie informacji,https://espiebi.pap.pl/node/709366
2025-12-29,15:12,143/2025,FUNDUSZ DŁUGU KORPORACYJNEGO RENTIER FIZ - WCI-E_30.04.18,https://espiebi.pap.pl/node/709365
2025-12-29,15:10,142/2025,FUNDUSZ DŁUGU KORPORACYJNEGO RENTIER FIZ - RB_FI_E_30.04.18,https://espiebi.pap.pl/node/709364
2025-12-29,14:56,23/2025,TREX S.A. - Skup akcji własnych,https://espiebi.pap.pl/node/709363
2025-12-29,14:43,24/2025,OUTDOORZY S.A. - Skup akcji własnych,https://espiebi.pap.pl/node/709362
2025-12-29,14:34,52/2025,DADELO S.A. - Informacja o transakcjach uzyskana w trybie art. 19 MAR,https://espiebi.pap.pl/node/709361
2025-12-29,14:00,2/2025,"Partner-Nieruchomości SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/643479
2025-12-29,13:52,65/2025,PEKABEX - Zawarcie znaczącej umowy przez spółkę zależną Poznańskiej Korporacji Budowlanej Pekabex S.A.,https://espiebi.pap.pl/node/709360
2025-12-29,13:49,3/2025,PARTNER-NIERUCHOMOŚCI S.A. - : Ogłoszenie o zwołaniu Nadzwyczajnego Walnego Zgromadzenia Spółki,https://espiebi.pap.pl/node/709359
2025-12-29,13:44,40/2025,SYGNITY - Rejestracja zmian w Statucie Sygnity S.A.,https://espiebi.pap.pl/node/709358
2025-12-29,13:41,37/2025,ZE PAK S.A. - Rezygnacja Członka Rady Nadzorczej spółki ZE PAK S.A.,https://espiebi.pap.pl/node/709357
2025-12-29,13:36,25/2025,Sunway Network S.A. - Korekta zawiadomienia o zmianie stanu posiadania akcji Sunway Network S.A.,https://espiebi.pap.pl/node/709356
