date,hour,number,title,link
2026-05-26,23:52,6/2026,"Rocca SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/646101
2026-05-26,23:52,1/2026,ROCCA S.A. - Ogłoszenie o zwołaniu Zwyczajnego Walnego Zgromadzenia na dzień 22 czerwca 2026 roku,https://espiebi.pap.pl/node/722858
2026-05-26,23:49,14/2026,Shoper S.A. - Aneks do umowy kredytu,https://espiebi.pap.pl/node/722857
2026-05-26,23:26,6/2026,POLARIS IT GROUP S.A. - Ogłoszenie o zwołaniu ZWZA Polaris IT Group SA na 22 czerwca 2026 r. wraz z projektami uchwał.,https://espiebi.pap.pl/node/722856
2026-05-26,23:25,15/2026,cyber_Folks S.A. - Aneks do umowy kredytu,https://espiebi.pap.pl/node/722855
2026-05-26,23:20,6/2026,Szar SA - Zmiana harmonogramu publikacji raportów okresowych,https://espiebi.pap.pl/node/646100
2026-05-26,23:12,20/2026,"Polaris IT Group SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/646099
2026-05-26,23:03,19/2026,"Polaris IT Group SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/646098
2026-05-26,23:01,6/2026,KBJ S.A. - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał,https://espiebi.pap.pl/node/722854
2026-05-26,22:53,2/2026,EXAMOBILE S.A. - Opinia Rady Nadzorczej w sprawie wniosku Zarządu w przedmiocie podziału zysku za rok 2025,https://espiebi.pap.pl/node/722853
2026-05-26,22:49,16/2026,NOVINA S.A. - Otrzymanie zawiadomienia w trybie art. 69 Ustawy o ofercie publicznOtrzymanie zawiadomienia w trybie art. 69 Ustawy o ofercie publiczn,https://espiebi.pap.pl/node/722852
2026-05-26,22:48,6/2026,"KBJ SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/646097
2026-05-26,22:48,5/2026,PLAYWAY S.A. - Rekomendacja Zarządu co do dywidendy za rok 2025 i niepodzielonego zysku za rok 2024,https://espiebi.pap.pl/node/722851
2026-05-26,22:21,28/2026,BENEFIT SYSTEMS S.A. - Zgłoszenie przez akcjonariusza projektów uchwał w sprawach objętych porządkiem obrad Zwyczajnego Walnego Zgromadzenia Benefit Systems S.A.,https://espiebi.pap.pl/node/722850
2026-05-26,22:06,34/2026,GRUPA VIRTUS S.A. - Otrzymanie zawiadomienia w trybie art. 69 Ustawy o ofercie publicznej,https://espiebi.pap.pl/node/722849
2026-05-26,22:00,9/2026,BTCS SA - Raport roczny,https://espiebi.pap.pl/node/646096
2026-05-26,21:55,2/2026,MADMIND STUDIO S.A. - Informacja o powzięciu wiadomości o braku procedowania wniosku o ogłoszenie upadłości Spółki,https://espiebi.pap.pl/node/722848
2026-05-26,21:41,1/2026,BLOOBER TEAM S.A. - Skonsolidowany raport kwartalny QSr,https://espiebi.pap.pl/node/722847
2026-05-26,21:15,11/2026,"PCF GROUP S.A. - Testy na utratę wartości udziałów w spółce zależnej Game On Creative, Inc.",https://espiebi.pap.pl/node/722846
2026-05-26,21:07,7/2026,Apanet SA - Zmiana harmonogramu publikacji raportów okresowych,https://espiebi.pap.pl/node/646095
2026-05-26,21:04,41/2026,GRUPA AZOTY SA - Uchwała Zarządu w sprawie ustanowienia zabezpieczeń przez Grupę Azoty S.A. na rzecz Stron Finansujących.,https://espiebi.pap.pl/node/722845
2026-05-26,20:59,6/2026,Apanet SA - Podpisanie przez emitenta z firmą audytorską umowy o badanie sprawozdań finansowych lub skonsolidowanych sprawozdań finansowych emitenta,https://espiebi.pap.pl/node/646094
2026-05-26,20:34,10/2026,PCF GROUP S.A. - Zmiana daty przekazania skonsolidowanego raportu kwartalnego za pierwszy kwartał 2026 r.,https://espiebi.pap.pl/node/722844
2026-05-26,19:53,12/2026,BIOCELTIX S.A. - Zwołanie ZWZ na dzień 23 czerwca 2026 roku,https://espiebi.pap.pl/node/722843
2026-05-26,19:50,8/26,NOVITA - Pozytywna ocena Rady Nadzorczej dotycząca wniosku Zarządu w sprawie podziału zysku za rok obrotowy 2025,https://espiebi.pap.pl/node/722842
2026-05-26,19:49,9/2026,COREY EUROPE S.A. - Zwołanie Nadzwyczajnego Walnego Zgromadzenia Corey Europe S.A. na dzień 22 czerwca  2026 roku.,https://espiebi.pap.pl/node/722841
2026-05-26,19:38,30/2026,DEVELIA - Informacja o transakcjach na akcjach Emitenta przez osobę blisko związaną z osobą pełniącą obowiązki zarządcze,https://espiebi.pap.pl/node/722840
2026-05-26,19:30,1/2026,TAX-NET S.A. - Ogłoszenie o zwołaniu Zwyczajnego Walnego Zgromadzenia TAX-NET SA wraz z projektami uchwał,https://espiebi.pap.pl/node/722839
2026-05-26,19:25,1/2026,CAVATINA HOLDING S.A. - Skonsolidowany raport kwartalny QSr,https://espiebi.pap.pl/node/722838
2026-05-26,19:25,1/2026,EXAMOBILE S.A. - Rekomendacja Zarządu w zakresie podziału zysku za 2025 rok,https://espiebi.pap.pl/node/722837
2026-05-26,19:13,9/2026,"Corey Europe SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/646093
2026-05-26,19:11,8/2026,BIOTON - Informacja o stwierdzeniu wykonalności zagranicznego wyroku sądu polubownego,https://espiebi.pap.pl/node/722836
2026-05-26,19:10,11/2026,SCANWAY S.A. - Podjęcie przez Zarząd Scanway uchwały o podwyższeniu kapitału zakładowego Emitenta w granicach kapitału docelowego,https://espiebi.pap.pl/node/722835
2026-05-26,19:04,5/2026,"Tax-Net SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/646092
2026-05-26,19:01,8/2026,DIGITAL NETWORK S.A. - Rekomendacja Zarządu dotycząca wypłaty dywidendy za 2025 rok,https://espiebi.pap.pl/node/722834
2026-05-26,19:00,8/2026,IMPERIO ASI S.A. - Projekty uchwał na ZWZ w dniu 25 czerwca 2026 r. i inna dokumentacja,https://espiebi.pap.pl/node/722833
2026-05-26,18:45,33/2026,UNIBEP S.A. - Ogłoszenie o zwołaniu Zwyczajnego Walnego Zgromadzenia UNIBEP S.A. oraz projekty uchwał,https://espiebi.pap.pl/node/722832
2026-05-26,18:44,7/2026,IMPERIO ASI S.A. - Ogłoszenie o zwołaniu Zwyczajnego Walnego Zgromadzenia Imperio  ASI S.A. na dzień 25 czerwca 2026 r.,https://espiebi.pap.pl/node/722831
2026-05-26,18:42,8/2026,Dr. Finance SA - Raport roczny,https://espiebi.pap.pl/node/646091
2026-05-26,18:39,5/2026,"DINO POLSKA S.A. - Zwołanie Zwyczajnego Walnego Zgromadzenia ""DINO POLSKA"" S.A. na dzień 22 czerwca 2026",https://espiebi.pap.pl/node/722830
2026-05-26,18:38,7/2026,Plot Twist SA - Korekta raportu okresowego,https://espiebi.pap.pl/node/646090
2026-05-26,18:33,29/2026,KRUK S.A. - Treść uchwał podjętych oraz uchwały nie podjętej przez Zwyczajne Walne Zgromadzenie KRUK S.A. w dniu 26 maja 2026 roku,https://espiebi.pap.pl/node/722829
