date,hour,number,title,link
2026-04-16,23:19,7/2026,Shoper S.A. - Zmiana terminu publikacji skonsolidowanego raportu kwartalnego za I kwartał roku obrotowego 2026,https://espiebi.pap.pl/node/719306
2026-04-16,22:05,6/2026,IMPERIO ASI S.A. - Sprawozdanie Rady Nadzorczej Imperio ASI S.A. za 2025 r.,https://espiebi.pap.pl/node/719305
2026-04-16,21:58,,FABRITY S.A. - RR,https://espiebi.pap.pl/node/719304
2026-04-16,21:53,,IMPERIO ASI S.A. - RR,https://espiebi.pap.pl/node/719303
2026-04-16,21:43,,Onesano S.A. - RR,https://espiebi.pap.pl/node/719302
2026-04-16,21:26,,FABRITY S.A. - Skonsolidowany raport roczny  SRR,https://espiebi.pap.pl/node/719301
2026-04-16,21:21,5/2026,GOLAB S.A. - Zawiadomienie z art. 69 Ustawy o ofercie publicznej.,https://espiebi.pap.pl/node/719300
2026-04-16,21:16,28/2026,POLTREG S.A. - Rejestracja podwyższenia kapitału zakładowego i zmian w Statucie Spółki - uzupełnienie,https://espiebi.pap.pl/node/719299
2026-04-16,21:15,4/2026,GOLAB S.A. - Zawiadomienie z art. 69 Ustawy o ofercie publicznej.,https://espiebi.pap.pl/node/719298
2026-04-16,20:30,22/2026,"ZORTRAX S.A. - Zawarcie listu intencyjnego dotyczącego potencjalnej strategicznej współpracy na obszarze Królestwa Arabii Saudyjskiej w ramach programu ""Vision 2030""",https://espiebi.pap.pl/node/719297
2026-04-16,20:29,17/2026,SANOK RC SA - Zawiadomienie w trybie art. 69 ustawy o ofercie,https://espiebi.pap.pl/node/719296
2026-04-16,20:10,8/2026,"Sygnis SA - Rejestracja przez sąd zmiany statutu emitenta lub odmowie takiej rejestracji, z podaniem przyczyn odmowy",https://espiebi.pap.pl/node/645214
2026-04-16,20:05,13/2026,MOSTALWAR - Informacje o sytuacji finansowej Spółki oraz ocena możliwości kontynuowania działalności Spółki i Grupy Kapitałowej,https://espiebi.pap.pl/node/719295
