date,hour,number,title,link
2026-09-02,23:39,20/2026,"XTB - Zawiadomienie od XX ZW Investment Group S.A. o zakończeniu procesu sprzedaży
akcji Spółki w ramach przyspieszonej budowy księgi popytu i wynikach tego procesu.",https://espiebi.pap.pl/node/736099
2026-09-02,23:19,,ARTIFEX MUNDI S.A. - Raport półroczny  P,https://espiebi.pap.pl/node/736098
2026-09-02,21:45,12/2026,Lokaty Budowlane SA - Zmiana harmonogramu publikacji raportów okresowych,https://espiebi.pap.pl/node/736097
2026-09-02,21:35,9/2026,STARWARD INDUSTRIES S.A. - Wykaz akcjonariuszy posiadających co najmniej 5% liczby głosów na Nadzwyczajnym Walnym Zgromadzeniu Akcjonariuszy Starward Industries S.A. w dniu 2 września 2026 r.,https://espiebi.pap.pl/node/736096
2026-09-02,21:32,14/2026,ZPC OTMUCHÓW S.A. - Odwołanie Członka Zarządu ZPC Otmuchów S.A.,https://espiebi.pap.pl/node/736095
2026-09-02,21:28,12/2026,Starward Industries SA - Informacje o walnym zgromadzeniu - treść uchwał podjętych przez WZ (w tym informacje o ogłoszeniu przerwy w obradach),https://espiebi.pap.pl/node/736094
2026-09-02,21:26,53/2026,"POLICE - Szacunkowe wybrane skonsolidowane wyniki finansowe Grupy Kapitałowej Grupa Azoty Zakłady Chemiczne ""Police"" S.A. za II kwartał 2026 oraz za I półrocze 2026 roku.",https://espiebi.pap.pl/node/736093
2026-09-02,21:23,39/2026,"PUŁAWY - Szacunkowe wybrane skonsolidowane wyniki finansowe Grupy Kapitałowej Grupy Azoty Zakłady Azotowe ""Puławy"" S.A. za II kwartał 2026 roku oraz za I półrocze 2026 roku.",https://espiebi.pap.pl/node/736092
2026-09-02,21:22,15/2026,BTC STUDIOS S.A. - Otrzymanie zawiadomienia na podstawie art. 69 ustawy o ofercie publicznej,https://espiebi.pap.pl/node/736091
2026-09-02,21:21,67/2026,GRUPA AZOTY SA - Szacunkowe wybrane skonsolidowane wyniki finansowe Grupy Azoty za II kwartał 2026 roku oraz za I półrocze 2026 roku,https://espiebi.pap.pl/node/736090
2026-09-02,21:09,78/2026,MOL - Notifications on change in voting rights,https://espiebi.pap.pl/node/736089
2026-09-02,20:37,66/2026,NIEWIADÓW POLSKA GRUPA MILITARNA S.A. - Rezygnacja członka rady nadzorczej,https://espiebi.pap.pl/node/736088
2026-09-02,20:07,50/2026,PEKABEX - Zawarcie transakcji zabezpieczających przed ryzykiem kursowym przy realizacji kontraktu,https://espiebi.pap.pl/node/736087
2026-09-02,20:07,65/2026,NIEWIADÓW POLSKA GRUPA MILITARNA S.A. - Otrzymanie zawiadomienia o zawarciu porozumienia akcjonariuszy w trybie art. 87 ust. 1 pkt) 5 Ustawy o Ofercie,https://espiebi.pap.pl/node/736086
2026-09-02,19:41,11/2026,"Green Zebras SA - Rejestracja przez sąd zmiany statutu emitenta lub odmowie takiej rejestracji, z podaniem przyczyn odmowy",https://espiebi.pap.pl/node/736085
2026-09-02,18:31,24/2026,PRIME ASI SA - Zawiadomienie w trybie art. 19 ust. 1 MAR,https://espiebi.pap.pl/node/736084
2026-09-02,18:31,24/2026,KERNEL HOLDING S.A. - NOTIFICATION OF MANAGER'S TRANSACTION,https://espiebi.pap.pl/node/736083
2026-09-02,18:24,26/2026,ARTIFEX MUNDI S.A. - Szacunkowe przychody ze sprzedaży Spółki oraz koszty akwizycji nowych graczy w sierpniu 2026 r.,https://espiebi.pap.pl/node/736082
2026-09-02,18:17,56/2026,DEVELIA - Dopuszczenie i wprowadzenie do obrotu giełdowego akcji serii K,https://espiebi.pap.pl/node/736081
2026-09-02,18:15,37/2026,VOTUM S.A. - Zawarcie umowy przeniesienia prawa użytkowania wieczystego gruntu oraz własności budynków przez spółkę zależną,https://espiebi.pap.pl/node/736080
2026-09-02,18:09,4/2026,Thorium Space S.A. - Otrzymanie zawiadomień o zmianie udziału w ogólnej liczbie głosów Emitenta,https://espiebi.pap.pl/node/736079
2026-09-02,17:42,58/2026,"JSW S.A. - Zawiadomienie ZUS o wyrażeniu zgody na rozłożenie na raty składek na ubezpieczenia społeczne, zdrowotne, FP, FGŚP i FEP oraz o zmianie warunków umów o rozłożenie na raty",https://espiebi.pap.pl/node/736078
2026-09-02,17:41,26/2026,"Green Lanes SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/736077
2026-09-02,17:35,49/2026,GREEN LANES S.A. - Zwołanie NWZ na dzień 8 października 2026 roku,https://espiebi.pap.pl/node/736076
2026-09-02,17:32,43/2026,BUMECH S.A. - Zwołanie NWZ Emitenta na 29 września 2026 roku,https://espiebi.pap.pl/node/736075
2026-09-02,17:28,48/2026,GREEN LANES S.A. - Pierwsze zawiadomienie o zamiarze połączenia Green Lanes S.A. z The True Green S.A.,https://espiebi.pap.pl/node/736074
2026-09-02,17:21,33/2026,BIO PLANET S.A. - Informacja o terminach przekazywania raportów okresowych w 2027 r.,https://espiebi.pap.pl/node/736073
2026-09-02,17:18,,CD PROJEKT RED SA - Skonsolidowany raport półroczny  PSr,https://espiebi.pap.pl/node/736072
2026-09-02,17:16,,cyber_Folks S.A. - Skonsolidowany raport półroczny  PSr,https://espiebi.pap.pl/node/736071
2026-09-02,17:11,7/2026,GREMI MEDIA S.A. - Transakcje dokonywane przez osoby pełniące obowiązki zarządcze i osoby blisko związane.,https://espiebi.pap.pl/node/736069
2026-09-02,17:11,,VERCOM S.A. - Skonsolidowany raport półroczny  PSr,https://espiebi.pap.pl/node/736070
2026-09-02,17:07,19/2026,"XTB - Zawiadomienie od XX ZW Investment Group S.A. o rozpoczęciu procesu sprzedaży
części posiadanych przez nią akcji Spółki w ramach przyspieszonej budowy księgi popytu.",https://espiebi.pap.pl/node/736068
2026-09-02,16:52,22/2026,GEOTRANS S.A. - Zawarcie umowy o kredyt w rachunku bieżącym,https://espiebi.pap.pl/node/736067
2026-09-02,16:33,10/2026,PLATIGE IMAGE S.A. - Wykaz akcjonariuszy posiadających co najmniej 5% liczby głosów na Nadzwyczajnym Walnym Zgromadzeniu Platige Image S.A. w dniu 2 września 2026 roku,https://espiebi.pap.pl/node/736066
2026-09-02,16:33,30/2026,KUBOTA S.A. - Realizacja skupu akcji własnych,https://espiebi.pap.pl/node/736065
2026-09-02,16:31,236/2026,"SOPHARMA AD - Notification from ""Industrial Holding - Doverie EAD"" in accordance with Regulation 596/2014 for transactions with shares of ""Sopharma"" AD on 01.09.2026",https://espiebi.pap.pl/node/736064
2026-09-02,16:29,174/2026,BETA ETF sWIG80TR PORTFELOWY FIZ - Raport bieżący nr 174 / 2026,https://espiebi.pap.pl/node/736063
2026-09-02,16:28,10/2026,GRUPA KLEPSYDRA S.A. - Uruchomienie kredytu inwestycyjnego na rzecz spółki zależnej,https://espiebi.pap.pl/node/736062
2026-09-02,16:21,23/2026,Platige Image SA - Informacje o walnym zgromadzeniu - treść uchwał podjętych przez WZ (w tym informacje o ogłoszeniu przerwy w obradach),https://espiebi.pap.pl/node/736061
2026-09-02,16:16,235/2026,"SOPHARMA AD - Notification from ""Industrial Holding - Doverie EAD"" in accordance with Regulation 596/2014 for transactions with warrants of ""Sopharma"" AD with ISIN BG9200003259 on 01.09.2026",https://espiebi.pap.pl/node/736060
2026-09-02,16:12,21/2026,INTERBUD-LUBLIN S.A. - Informacja o objęciu akcji Spółki przez osoby zarządzające,https://espiebi.pap.pl/node/736059
2026-09-02,16:03,1/2026,Selena FM SA - Informacja o stanie stosowania Dobrych Praktyk 2021,https://espiebi.pap.pl/node/736058
2026-09-02,16:02,6/2026,LIFTERO/Liftero Spółka Akcyjna - Wystąpienie przez emitenta z wnioskiem do właściwego organu nadzoru o zatwierdzenie odpowiedniego publicznego dokumentu informacyjnego,https://espiebi.pap.pl/node/736057
2026-09-02,16:02,76/2025,IPOPEMA BENEFIT 3 FIZ AN - WANCI-E_30.04.18,https://espiebi.pap.pl/node/736056
2026-09-02,16:00,17/2026,"Voolt SA - Rejestracja przez sąd zmiany statutu emitenta lub odmowie takiej rejestracji, z podaniem przyczyn odmowy",https://espiebi.pap.pl/node/736055
2026-09-02,15:48,234/2026,"SOPHARMA AD - Notification from ""Kaliman-RT"" AD in accordance with Regulation 596/2014 for transactions with shares of ""Sopharma"" AD on 01.09.2026",https://espiebi.pap.pl/node/736054
2026-09-02,15:48,25/2025,IPOPEMA INFRASTRUKTURY CYFROWEJ I ENERGII FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/736053
2026-09-02,15:20,3/2026,"Thorium Space S.A. - Lista akcjonariuszy, którzy wzięli udział w Walnym Zgromadzeniu oraz mieli co najmniej 5% głosów - korektaLista akcjonariuszy, którzy wzięli udział w Walnym Zgromadzeniu oraz mieli co najmniej 5% głosów - korekta",https://espiebi.pap.pl/node/736052
2026-09-02,15:20,233/2026,"SOPHARMA AD - Notification from ""Sofprint Group"" AD in accordance with Regulation 596/2014 for transactions with shares of ""Sopharma"" AD on 01.09.2026",https://espiebi.pap.pl/node/736051
2026-09-02,15:18,24/2026,IPOPEMA INFRASTRUKTURY CYFROWEJ I ENERGII FIZ - RB_FI_E_30.04.18,https://espiebi.pap.pl/node/736050
2026-09-02,15:16,9/2026,Krakowski Bank Spółdzielczy/Krakowski Bank Spółdzielczy - Powołanie osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/736049
2026-09-02,15:05,9/2026,Software Mansion S.A. - Zawarcie istotnej umowy i rozwój współpracy ze znaczącym klientem,https://espiebi.pap.pl/node/736048
2026-09-02,15:04,23/2026,IPOPEMA INFRASTRUKTURY CYFROWEJ I ENERGII FIZ - PC-E_30.04.18,https://espiebi.pap.pl/node/736047
2026-09-02,14:59,69/2026,EQUES AKUMULACJI MAJĄTKU FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/736046
2026-09-02,14:57,88/2026,EQUES AKTYWNEGO INWESTOWANIA FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/736045
2026-09-02,14:57,232/2026,"SOPHARMA AD - Notification from ""Donev Investments Holding"" AD in accordance with Regulation 596/2014 for transactions with shares of ""Sopharma"" AD on 01.09.2026",https://espiebi.pap.pl/node/736044
2026-09-02,14:55,85/2026,EQUES AKCJI SEKTORA PRYWATNEGO FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/736043
2026-09-02,14:52,179/2026,BETA ETF DYWIDENDA PLUS PORTFELOW FIZ - Raport bieżący nr 179 / 2026,https://espiebi.pap.pl/node/736042
2026-09-02,14:47,34/2026,WIELTON S.A. - Podsumowanie subskrypcji akcji zwykłych na okaziciela serii H Wielton S.A. - uzupełnienie informacji o kosztach emisji,https://espiebi.pap.pl/node/736041
2026-09-02,14:45,231/2026,"SOPHARMA AD - Notification from ""Donev Investments Holding"" AD in accordance with Regulation 596/2014 for transactions with warrants of ""Sopharma"" AD with ISIN BG9200001253 on 01.09.2026",https://espiebi.pap.pl/node/736040
2026-09-02,14:26,230/2026,"SOPHARMA AD - Notification from Ognian Donev in accordance with Regulation 596/2014 for transactions with warrants of ""Sopharma"" AD with ISIN BG9200003259 on 01.09.2026",https://espiebi.pap.pl/node/736039
2026-09-02,14:20,142/2026,PZU ETF WIG20 TR + mWIG40 TR PORTFELOWY FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/736038
2026-09-02,14:18,124/2026,PZU ETF MSCI WORLD PORTFELOWY FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/736037
2026-09-02,14:15,103/2026,PZU ETF GOLD PORTFELOWY FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/736036
2026-09-02,14:15,175/2026,BETA ETF mWIG40TR PORTFELOWY FIZ - Raport bieżący nr 175 / 2026,https://espiebi.pap.pl/node/736035
2026-09-02,14:13,229/2026,"SOPHARMA AD - Notification from Ognian Donev in accordance with Regulation 596/2014 for transactions with warrants of ""Sopharma"" AD with ISIN BG9200004257 on 01.09.2026",https://espiebi.pap.pl/node/736034
2026-09-02,14:13,41/2026,PZU ETF OBLIGACJI SKARBOWYCH DŁUGOTERMINOWYCH PORTFELOWY FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/736033
2026-09-02,14:11,41/2026,PZU ETF OBLIGACJI SKARBOWYCH ZMIENNOKUPONOWYCH PORTFELOWY FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/736032
2026-09-02,14:10,36/2026,PEPCO GROUP N.V. - Results of voting at the Extraordinary General Meeting,https://espiebi.pap.pl/node/736031
2026-09-02,14:06,30/2026,INVESTOR GOLD FIZ - ZWCI-E_30.04.18,https://espiebi.pap.pl/node/736030
2026-09-02,14:05,29/2026,INVESTOR GOLD FIZ - WCI-E_30.04.18,https://espiebi.pap.pl/node/736029
2026-09-02,14:04,30/2026,INVESTOR FIZ - ZWCI-E_30.04.18,https://espiebi.pap.pl/node/736028
2026-09-02,14:03,29/2026,INVESTOR FIZ - WCI-E_30.04.18,https://espiebi.pap.pl/node/736027
2026-09-02,13:59,9/2026,"GRUPA FORTE S.A. - Treść uchwał podjętych przez Zwyczajne Walne Zgromadzenie Grupy Forte S.A. oraz treść projektu uchwały, która była poddana pod głosowanie, a nie została podjęta przez Zwyczajne Walne Zgromadzenie Grupy Forte S.A. w dniu 2 września 2026 r.",https://espiebi.pap.pl/node/736026
2026-09-02,13:57,8/2026,READ-GENE S.A. - Podsumowanie badań dotyczących korelacji stężeń selenu z ryzykiem wczesnego zgonu i zachorowań na nowotwory.,https://espiebi.pap.pl/node/736025
2026-09-02,13:57,228/2026,"SOPHARMA AD - Notification from Aleksandar Tchaoushev in accordance with Regulation 596/2014 for transactions with shares of ""Sopharma"" AD  on 01.09.2026",https://espiebi.pap.pl/node/736024
2026-09-02,13:54,151/2026,BETA ETF MWIG40TRlv PORTFELOWY FIZ - Raport bieżący nr 151 / 2026,https://espiebi.pap.pl/node/736023
2026-09-02,13:52,175/2026,BETA ETF WIG20TR PORTFELOWY FIZ - Raport bieżący nr 175 / 2026,https://espiebi.pap.pl/node/736022
2026-09-02,13:49,35/2026,OPONEO.PL S.A. - Informacje o transakcjach na akcjach Spółki uzyskane w trybie art. 19 MAR,https://espiebi.pap.pl/node/736021
2026-09-02,13:44,40/2026,PZU ETF OBLIGACJI SKARBOWYCH ZMIENNOKUPONOWYCH PORTFELOWY FIZ - RB_FI_E_30.04.18,https://espiebi.pap.pl/node/736020
2026-09-02,13:42,40/2026,PZU ETF OBLIGACJI SKARBOWYCH DŁUGOTERMINOWYCH PORTFELOWY FIZ - RB_FI_E_30.04.18,https://espiebi.pap.pl/node/736019
2026-09-02,13:41,102/2026,PZU ETF GOLD PORTFELOWY FIZ - RB_FI_E_30.04.18,https://espiebi.pap.pl/node/736018
2026-09-02,13:39,123/2026,PZU ETF MSCI WORLD PORTFELOWY FIZ - RB_FI_E_30.04.18,https://espiebi.pap.pl/node/736017
2026-09-02,13:36,141/2026,PZU ETF WIG20 TR + mWIG40 TR PORTFELOWY FIZ - RB_FI_E_30.04.18,https://espiebi.pap.pl/node/736016
2026-09-02,13:36,75/2026,IPOPEMA BENEFIT 3 FIZ AN - RB_FI_E_30.04.18,https://espiebi.pap.pl/node/736015
2026-09-02,13:30,33/2026,"CEZ, a.s. - Interest Payment Notice",https://espiebi.pap.pl/node/736014
2026-09-02,13:25,9/2026,KOMPUTRONIK S.A. - Zwołanie Zwyczajnego Walnego Zgromadzenia na dzień 29 września 2026 r.,https://espiebi.pap.pl/node/736013
2026-09-02,13:21,74/2026,IPOPEMA BENEFIT 3 FIZ AN - PC-E_30.04.18,https://espiebi.pap.pl/node/736012
2026-09-02,13:20,23/2026,Sygnis S.A. - Złożenie wniosku o wyznaczenie pierwszego dnia notowania akcji serii F1,https://espiebi.pap.pl/node/736011
2026-09-02,13:17,21/2026,DECORA - Ogłoszenie o zwołaniu Nadzwyczajnego Walnego Zgromadzenia Decora S.A. na dzień 30 września 2026 r.,https://espiebi.pap.pl/node/736010
2026-09-02,13:13,160/2026,BETA ETF MWIG40TRsh PORTFELOWY FIZ - Raport bieżący nr 160 / 2026,https://espiebi.pap.pl/node/736009
2026-09-02,13:11,174/2026,BETA ETF WIG20lev PORTFELOWY FIZ - Raport bieżący nr 174 / 2026,https://espiebi.pap.pl/node/736008
2026-09-02,13:09,182/2026,BETA ETF OBLIGACJI 6M PORTFELOWY FIZ - Raport bieżący nr 182 / 2026,https://espiebi.pap.pl/node/736007
2026-09-02,13:06,174/2026,BETA ETF NASDAQ-100 2 x SHORT PORTFELOWY FIZ - Raport bieżący nr 174 / 2026,https://espiebi.pap.pl/node/736006
2026-09-02,13:03,175/2026,BETA ETF NASDAQ-100 3 x LEVERAGED PORTFELOWY FIZ - Raport bieżący nr 175 / 2026,https://espiebi.pap.pl/node/736005
2026-09-02,13:00,173/2026,BETA ETF WIG20short PORTFELOWY FIZ - Raport bieżący nr 173 / 2026,https://espiebi.pap.pl/node/736004
2026-09-02,12:57,174/2026,BETA ETF NASDAQ-100 PLN-HEDGED PORTFELOWY FIZ - Raport bieżący nr 174 / 2026,https://espiebi.pap.pl/node/736003
2026-09-02,12:24,41/2026,GENOMTEC S.A. - Zawiadomienie o zmianie stanu posiadania akcji Spółki,https://espiebi.pap.pl/node/736002
2026-09-02,12:23,174/2026,BETA ETF TBSP IPORTFELOWY FIZ - Raport bieżący nr 174 / 2026,https://espiebi.pap.pl/node/736001
2026-09-02,12:19,174/2026,BETA ETF S&P 500 PLN-HEDGED PORTFELOWY FIZ - Raport bieżący nr 174 / 2026,https://espiebi.pap.pl/node/736000
2026-09-02,12:16,176/2026,BETA ETF BITCOIN PORTFELOWY FIZ - Raport bieżący nr 176 / 2026,https://espiebi.pap.pl/node/735999
2026-09-02,12:15,40/2026,GENOMTEC S.A. - Powiadomienie notyfikacyjne otrzymane od Prezesa Zarządu w trybie art. 19 ust. 1. Rozporządzenia MAR,https://espiebi.pap.pl/node/735998
2026-09-02,12:07,47/2026,GREEN LANES S.A. - Uzgodnienie i podpisanie planu połączenia Emitenta z jego spółką zależną The True Green S.A.,https://espiebi.pap.pl/node/735997
2026-09-02,12:00,17/2026,BUMECH DEFENSE PARTNERS S.A. - Uzupełnienie składu Rady Nadzorczej,https://espiebi.pap.pl/node/735996
2026-09-02,11:46,8/2026,GRUPA FORTE S.A. - powołanie Członków Rady Nadzorczej Grupy Forte S.A. nowej kadencji,https://espiebi.pap.pl/node/735995
2026-09-02,11:40,18/2026,HYDROTOR - Zmiana terminu przekazania raportu półrocznego za 2026 r.,https://espiebi.pap.pl/node/735994
2026-09-02,11:13,14/2026,"Yoshi lnnovation S.A. - Zawarcie umowy ze Szkołą Policji w Słupsku na dostawę symulatorów PhantomSkin, w tym PhantomHip 2.0 + XR",https://espiebi.pap.pl/node/735993
2026-09-02,11:03,227/2026,SOPHARMA AD - Notification for sale of treasury shares,https://espiebi.pap.pl/node/735992
2026-09-02,10:45,10/2025,08OCTAVA - Wygaśnięcie mandatu Członka Rady Nadzorczej Octava S.A.,https://espiebi.pap.pl/node/735991
2026-09-02,10:44,4/2026,"INFINITY/INFINITY Spółka Akcyjna - Zmiana praw z obligacji notowanych w alternatywnym systemie obrotu, wraz ze wskazaniem zakresu zmian",https://espiebi.pap.pl/node/735990
2026-09-02,10:43,24/2026,GRODNO S.A. - Szacunkowe przychody za sierpień 2026 r.,https://espiebi.pap.pl/node/735989
2026-09-02,10:38,226/2026,"SOPHARMA AD - Notification from Bissera Lazarova in accordance with Regulation 596/2014 for transactions with shares of ""Sopharma"" AD  on 01.09.2026",https://espiebi.pap.pl/node/735988
2026-09-02,10:30,11/2026,"Excellence SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/735987
2026-09-02,10:22,12/2026,EXCELLENCE S.A. - Ogłoszenie o zwołaniu Nadzwyczajnego Walnego Zgromadzenia EXCELLENCE S.A. wraz z projektami uchwał,https://espiebi.pap.pl/node/735986
2026-09-02,10:16,3/2026,Matexi Polska Holding/Matexi Polska Holding & Finance Spółka Akcyjna - Skonsolidowany raport półroczny,https://espiebi.pap.pl/node/735985
2026-09-02,10:10,2/2026,Matexi Polska Holding/Matexi Polska Holding & Finance Spółka Akcyjna - Raport półroczny,https://espiebi.pap.pl/node/735984
2026-09-02,10:07,91/2026,Enea Elektrownia Połaniec Sp. z o.o. - POWIADOMIENIE O TRANSAKCJI W TRYBIE ART. 19 MAR,https://espiebi.pap.pl/node/735983
2026-09-02,10:05,10/2026,LIVE MOTION GAMES S.A. - Ustalenie daty premiery gry Corner Shop: NightShift na konsole,https://espiebi.pap.pl/node/735982
2026-09-02,09:53,13/2026,UNIFIED FACTORY S.A. - Odwołanie Nadzwyczajnego Walnego Zgromadzenia zwołanego na dzień 8 września 2026 roku,https://espiebi.pap.pl/node/735981
2026-09-02,09:35,34/2026,OPONEO.PL S.A. - Informacja o transakcjach na akcjach Spółki uzyskana w trybie art. 19 MAR,https://espiebi.pap.pl/node/735980
2026-09-02,09:27,90/2026,Enea Elektrownia Połaniec Sp. z o.o. - POWIADOMIENIE O TRANSAKCJI W TRYBIE ART. 19 MAR,https://espiebi.pap.pl/node/735979
2026-09-02,09:12,34/2026,QUERCUS TFI S.A. - Wartość aktywów pod zarządzaniem Quercus TFI S.A.,https://espiebi.pap.pl/node/735978
2026-09-02,08:58,29/2026,NOVINA S.A. - Nabycie akcji Emitenta w ramach skupu akcji własnych,https://espiebi.pap.pl/node/735977
2026-09-02,08:38,1/2026,VOXEL S.A. - Raport kwartalny   QSr,https://espiebi.pap.pl/node/735976
2026-09-02,08:20,6/2026,STOHID TECHNOLOGY S.A. - Zawarcie umowy inwestycyjnej dotyczącej realizacji strategicznego projektu,https://espiebi.pap.pl/node/735975
2026-09-02,08:18,274/2026,NOVATURAS AB - Regarding approval of circular of the non-competitive mandatory tender offer,https://espiebi.pap.pl/node/735974
2026-09-02,05:53,12/2026,"Varsav Game Studios SA - Rejestracja przez sąd zmiany statutu emitenta lub odmowie takiej rejestracji, z podaniem przyczyn odmowy",https://espiebi.pap.pl/node/735973
