date,hour,number,title,link
2026-04-23,23:49,26/2026,"POLICE - Szacunkowe wybrane skonsolidowane i jednostkowe wyniki finansowe Grupy Kapitałowej Grupa Azoty Zakłady Chemiczne ""Police"" S.A. za IV kwartał 2025 roku oraz za 2025 rok.",https://espiebi.pap.pl/node/719871
2026-04-23,23:22,17/2026,"PUŁAWY - Szacunkowe wybrane skonsolidowane wyniki finansowe Grupy Kapitałowej Grupy Azoty Zakłady Azotowe ""Puławy"" S.A. za IV kwartał 2025 roku oraz za 2025 rok.",https://espiebi.pap.pl/node/719870
2026-04-23,23:18,33/2026,GRUPA AZOTY SA - Szacunkowe wybrane wyniki finansowe Grupy Kapitałowej Grupa Azoty za IV kwartał 2025 roku oraz za 2025 rok,https://espiebi.pap.pl/node/719869
2026-04-23,23:16,8/2026,Quart Development SA - Informacje o walnym zgromadzeniu - informacje po odbyciu WZ (w tym ogłoszenie przerwy) - uchwały,https://espiebi.pap.pl/node/645296
2026-04-23,23:02,3/2026,SECO/WARWICK S.A. - Rekomendacja Zarządu SECO/WARWICK S.A. wraz z opinią Rady Nadzorczej w sprawie podziału zysku netto za rok 2025 oraz wypłaty dywidendy za rok 2025,https://espiebi.pap.pl/node/719868
2026-04-23,22:59,,SECO/WARWICK S.A. - Skonsolidowany raport roczny  SRR,https://espiebi.pap.pl/node/719867
2026-04-23,22:54,1/2026,"FARM INNOVATIONS SA - Zawarcie, zmiana treści, wypowiedzenie, rozwiązanie lub wygaśnięcie umowy o wykonywanie zadań Autoryzowanego Doradcy",https://espiebi.pap.pl/node/645295
2026-04-23,22:45,32/2026,GRUPA AZOTY SA - Wyniki testów na utratę wartości aktywów oraz zdarzenia jednorazowe mające wpływ na wyniki finansowe za 2025 r.,https://espiebi.pap.pl/node/719866
2026-04-23,22:43,16/2026,"PUŁAWY - Informacja o dokonaniu odpisu aktualizującego wartość aktywów w sprawozdaniach finansowych Grupy Azoty Zakłady Azotowe ""Puławy"" S.A. za 2025 rok.",https://espiebi.pap.pl/node/719865
2026-04-23,22:38,14/2026,TRUSTBTC SA - Informacje o walnym zgromadzeniu - treść uchwał podjętych przez WZ (w tym informacje o ogłoszeniu przerwy w obradach),https://espiebi.pap.pl/node/645294
2026-04-23,22:36,,SECO/WARWICK S.A. - RR,https://espiebi.pap.pl/node/719864
2026-04-23,22:20,2/2026,BRAS S.A. - Zawarcie umowy przeniesienia decyzji środowiskowej dla farmy fotowoltaicznej Serby,https://espiebi.pap.pl/node/719863
2026-04-23,22:12,3/2026,ED INVEST S.A. - Ogłoszenie o zwołaniu na 20 maja 2026 r. Zwyczajnego Walnego Zgromadzenia ED Invest S.A.,https://espiebi.pap.pl/node/719862
2026-04-23,22:00,,ED INVEST S.A. - Skonsolidowany raport roczny  SRR,https://espiebi.pap.pl/node/719861
2026-04-23,21:48,,ED INVEST S.A. - RR,https://espiebi.pap.pl/node/719860
2026-04-23,21:28,,RAINBOW TOURS S.A. - Skonsolidowany raport roczny  SRR,https://espiebi.pap.pl/node/719859
2026-04-23,21:25,,RAINBOW TOURS S.A. - RR,https://espiebi.pap.pl/node/719858
2026-04-23,21:22,4/2026,Golab SA - Informacje o niestosowaniu w sposób trwały lub incydentalnym naruszeniu przez emitenta zasady ładu korporacyjnego,https://espiebi.pap.pl/node/645293
2026-04-23,21:18,12/2026,TOWER INVESTMENTS S.A. - Zmiana terminu publikacji raportów rocznych za 2025 rok,https://espiebi.pap.pl/node/719857
2026-04-23,20:53,5/2026,Moliera2 SA - Informacje o walnym zgromadzeniu - informacje po odbyciu WZ (w tym ogłoszenie przerwy) - uchwały,https://espiebi.pap.pl/node/645292
2026-04-23,20:39,,ECB SA - Skonsolidowany raport roczny  SRR,https://espiebi.pap.pl/node/719856
2026-04-23,20:35,,ECB SA - RR,https://espiebi.pap.pl/node/719855
2026-04-23,20:25,2/2026,MOLIERA2 S.A. - Wykaz akcjonariuszy posiadających co najmniej 5% głosów na WZA Moliera2 S.A. w dniu 23 kwietnia  2026 roku,https://espiebi.pap.pl/node/719854
2026-04-23,19:42,5/2026,"Art Games Studio SA - Zakończenie subskrypcji lub sprzedaży, związanej z wprowadzeniem instrumentów finansowych emitenta do obrotu w alternatywnym systemie",https://espiebi.pap.pl/node/645291
2026-04-23,19:30,3/2026,ZPC OTMUCHÓW S.A. - Zmiana terminu publikacji raportów rocznych za 2025 rok.,https://espiebi.pap.pl/node/719853
2026-04-23,19:26,8/2026,CREEPY JAR S.A. - Rekomendacja Rady Nadzorczej w sprawie podziału zysku za 2025 rok,https://espiebi.pap.pl/node/719852
2026-04-23,19:24,7/2026,CREEPY JAR S.A. - Rekomendacja Zarządu w sprawie podziału zysku za 2025 rok i wypłaty dywidendy,https://espiebi.pap.pl/node/719851
2026-04-23,19:16,,CREEPY JAR S.A. - RR,https://espiebi.pap.pl/node/719850
2026-04-23,19:05,28/2026,PROTEKTOR - Zawiadomienie od akcjonariusza Spółki,https://espiebi.pap.pl/node/719849
2026-04-23,18:53,,PragmaGo S.A. - Skonsolidowany raport roczny  SRR,https://espiebi.pap.pl/node/719848
2026-04-23,18:51,,PragmaGo S.A. - RR,https://espiebi.pap.pl/node/719847
2026-04-23,18:36,,ROPCZYCE - Skonsolidowany raport roczny  SRR,https://espiebi.pap.pl/node/719846
