date,hour,number,title,link
2026-04-08,23:07,9/2026,THE DUST S.A. - Podjęcie uchwały w sprawie podziału Spółki i przeniesienia jej majątku do Ovid Works S.A. (podział przez wydzielenie),https://espiebi.pap.pl/node/718678
2026-04-08,22:55,8/2026,The Dust SA - Powołanie osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/645116
2026-04-08,22:51,7/2026,The Dust SA - Informacje o walnym zgromadzeniu - treść uchwał podjętych przez WZ (w tym informacje o ogłoszeniu przerwy w obradach),https://espiebi.pap.pl/node/645115
2026-04-08,22:36,16/2026,POLENERGIA - ZMIANY W SKŁADZIE RADY NADZORCZEJ POLENERGIA S.A.,https://espiebi.pap.pl/node/718677
2026-04-08,22:16,6/2026,The Dust SA - Odwołanie lub rezygnacja osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/645114
2026-04-08,22:02,3/2026,Carlson Investments SE - Odwołanie lub rezygnacja osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/645113
2026-04-08,21:52,15/2026,POLENERGIA - UCHWAŁY PODJĘTE PRZEZ ZWYCZAJNE WALNE ZGROMADZENIE POLENERGIA S.A,https://espiebi.pap.pl/node/718676
2026-04-08,21:14,3/2026,Medard SA - Harmonogram publikacji raportów okresowych,https://espiebi.pap.pl/node/645112
2026-04-08,21:09,2/2026,Medard SA - Raport kwartalny za I kwartał,https://espiebi.pap.pl/node/645111
2026-04-08,20:43,1/2026,"GREMPCO S.A. - Spółka portfelowa GREMPCO S.A., została wskazana na liście projektów rekomendowanych do dofinansowania w ramach konkursu nr FEPZ.01.01-IZ.00-001/25",https://espiebi.pap.pl/node/718675
2026-04-08,20:29,2/2026,QUANTUM SOFTWARE SA - Szacunkowe dane finansowe Grupy Kapitałowej Quantum software SA za rok 2025 r.,https://espiebi.pap.pl/node/718674
2026-04-08,19:46,24/2026,TREX S.A. - Trzy zawiadomienia w trybie art. 69 Ustawy o ofercie publicznej,https://espiebi.pap.pl/node/718673
2026-04-08,18:56,,BETA ETF sWIG80TR PORTFELOWY FIZ - R,https://espiebi.pap.pl/node/718672
2026-04-08,18:51,,BETA ETF TBSP IPORTFELOWY FIZ - R,https://espiebi.pap.pl/node/718671
2026-04-08,18:50,5/2026,LW BOGDANKA S.A. - Powołanie Zarządu LW Bogdanka S.A.,https://espiebi.pap.pl/node/718670
