date,hour,number,title,link
2025-12-09,21:55,27/2025,KRAKCHEMIA S.A. - Orzeczenie Wojewódzkiego Sądu Administracyjnego w Krakowie dot. postępowania w sprawie określenia zobowiązania podatkowego Spółki  w podatku od towarów i usług za okres od stycznia do grudnia 2014 r,https://espiebi.pap.pl/node/708175
2025-12-09,21:26,72/2025,GRUPA NIEWIADÓW - PGM S.A. - Zbycie akcji Fabryka Amunicji Pocisk S.A.,https://espiebi.pap.pl/node/708174
2025-12-09,21:19,20/2025,HEMP & HEALTH S.A. - Zwołanie Nadzwyczajnego Walnego Zgromadzenia na dzień 7 stycznia 2026 roku,https://espiebi.pap.pl/node/708173
2025-12-09,20:59,1/2025,"Hemp & Health SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/643306
2025-12-09,20:40,32/2025,IMMERSION GAMES S.A. - Zmiana stanu posiadania,https://espiebi.pap.pl/node/708172
2025-12-09,18:27,2/2025,"Green Zebras SA - Zawarcie, zmiana treści, wypowiedzenie, rozwiązanie lub wygaśnięcie umowy o wykonywanie zadań Autoryzowanego Doradcy",https://espiebi.pap.pl/node/643305
2025-12-09,18:11,24/2025,AILLERON S.A. - Zmiany w składzie Zarządu Spółki,https://espiebi.pap.pl/node/708171
2025-12-09,17:46,156/2025,MONNARI TRADE S.A. - Skup akcji własnych,https://espiebi.pap.pl/node/708170
2025-12-09,17:41,29/2025,ESOTIQ & HENDERSON - Wstępna informacja o skonsolidowanych przychodach Grupy Kapitałowej Esotiq _ Henderson w listopadzie 2025 r.,https://espiebi.pap.pl/node/708169
2025-12-09,17:40,28/2025,AGORA - Korekta ceny nabycia udziałów w Synergic sp. z o.o. z siedzibą w Warszawie,https://espiebi.pap.pl/node/708168
2025-12-09,17:28,124/2025,PKP CARGO S.A. W RESTRUKTURYZACJI - Uzupełnienie informacji o osobie zarządzającej  - Zarzadcy masy sanacyjnej PKP CARGO S.A. w restrukturyzacji,https://espiebi.pap.pl/node/708167
2025-12-09,17:28,65/2025,BEST - Informacja o transakcji na obligacjach Emitenta uzyskana w trybie art. 19 Rozporządzenia MAR,https://espiebi.pap.pl/node/708165
2025-12-09,17:28,53/2025,NANOGROUP S.A. - Zawiadomienie od akcjonariusza Spółki o rozpoczęciu procesu sprzedaży posiadanych akcji Spółki w ramach procesu budowy księgi popytu,https://espiebi.pap.pl/node/708166
2025-12-09,17:28,5/2025,mPay SA - Podjęcie przez zarząd emitenta decyzji o podwyższeniu kapitału zakładowego emitenta w granicach kapitału docelowego,https://espiebi.pap.pl/node/643304
2025-12-09,17:22,,GRUPA FORTE S.A. - Skonsolidowany raport półroczny  PSr,https://espiebi.pap.pl/node/708164
2025-12-09,17:17,70/2025,MPAY S.A. - Przyjęcie przez Zarząd Spółki uchwały w sprawie i  podwyższenia kapitału zakładowego w ramach kapitału docelowego drodze subskrypcji prywatnej Akcji Serii W,https://espiebi.pap.pl/node/708163
2025-12-09,17:01,24/2025,EUROCASH - Przyjęcie Strategii dla Grupy Eurocash na lata 2026-2027,https://espiebi.pap.pl/node/708162
2025-12-09,16:59,25/2025,VRG S.A. - Zawiadomienie w sprawie znacznych pakietów akcji.,https://espiebi.pap.pl/node/708161
2025-12-09,16:58,67/2025,BUDIMEX - Budowa instalacji kogeneracji do produkcji energii z przetworzonych odpadów komunalnych z wykorzystaniem ciepła do miejskiej sieci ciepłowniczej w Tarnowie - wybór oferty konsorcjum,https://espiebi.pap.pl/node/708160
2025-12-09,16:57,1/2025,Arctic Paper SA - Informacja o stanie stosowania Dobrych Praktyk 2021,https://espiebi.pap.pl/node/643303
2025-12-09,16:38,108/2025,DEVELIA - Decyzja Prezesa UOKiK w sprawie zgody na dokonanie koncentracji,https://espiebi.pap.pl/node/708159
2025-12-09,16:28,14/2025,BINARY HELIX S.A. - Zawarcie przez Emitenta Listu Intencyjnego w zakresie systemów bezpieczeństwa i technologii opartych o rozwiązania BSP,https://espiebi.pap.pl/node/708158
2025-12-09,16:23,52/2025,SCOPE FLUIDICS S.A. - Komunikat KDPW w sprawie daty rejestracji akcji serii K Spółki,https://espiebi.pap.pl/node/708157
2025-12-09,16:19,51/2025,SCOPE FLUIDICS S.A. - Dopuszczenie i warunkowe wprowadzenie akcji zwykłych na okaziciela serii K Spółki do obrotu giełdowego na głównym rynku GPW,https://espiebi.pap.pl/node/708156
2025-12-09,16:08,13/2025,"BINARY HELIX S.A. - Zawarcie przez Emitenta Listu Intencyjnego w zakresie rozwiązań OZE, w tym technologii Hybrydowych Turbin Wiatrowo-Solarnych",https://espiebi.pap.pl/node/708155
2025-12-09,15:56,66/2025,MOL - Director/PDMR transaction,https://espiebi.pap.pl/node/708154
2025-12-09,15:50,97/2025,IPOPEMA BENEFIT 3 FIZ AN - RB_FI_E_30.04.18,https://espiebi.pap.pl/node/708153
2025-12-09,15:37,81/2025,GRENEVIA S.A. - Grenevia S.A. zawarła Aneks do umowy pożyczki.,https://espiebi.pap.pl/node/708152
2025-12-09,15:33,248/2025,BETA ETF NASDAQ-100 3 x LEVERAGED PORTFELOWY FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/708151
2025-12-09,15:31,29/2025,ICE CODE GAMES S.A. - Potwierdzenie harmonogramu wydawniczego pełnej wersji gry Nightmare Frontier,https://espiebi.pap.pl/node/708150
2025-12-09,15:29,96/2025,IPOPEMA BENEFIT 3 FIZ AN - WCI-E_30.04.18,https://espiebi.pap.pl/node/708149
2025-12-09,15:27,37/2025,KRYNICA VITAMIN S.A. - Otrzymanie zawiadomienia o zmniejszeniu udziału poniżej progu 5% ogólnej liczby głosów w Spółce,https://espiebi.pap.pl/node/708148
2025-12-09,15:22,31/2025,Molecure S.A. - Podpisanie umowy o dofinansowanie z Narodowym Centrum Badań i Rozwoju.,https://espiebi.pap.pl/node/708147
2025-12-09,15:20,32/2025,WISE ENERGY S.A. - Zgłoszenie przez akcjonariusza żądania umieszczenia określonych spraw w porządku obrad Zwyczajnego Walnego Zgromadzenia Spółki zwołanego na 30 grudnia 2025 roku,https://espiebi.pap.pl/node/708146
2025-12-09,15:18,93/2025,EQUES AKUMULACJI MAJĄTKU FIZ - RB_FI_E_30.04.18,https://espiebi.pap.pl/node/708145
2025-12-09,15:17,250/2025,BETA ETF NASDAQ-100 PLN-HEDGED PORTFELOWY FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/708144
2025-12-09,15:15,36/2025,KRYNICA VITAMIN S.A. - Powiadomienie o transakcjach osoby blisko związanej z osobą pełniącą obowiązki zarządcze,https://espiebi.pap.pl/node/708143
2025-12-09,15:15,92/2025,EQUES AKUMULACJI MAJĄTKU FIZ - WCI-E_30.04.18,https://espiebi.pap.pl/node/708142
2025-12-09,15:14,45/2025,"RAINBOW TOURS S.A. - Informacja o wielkości przedsprzedaży imprez turystycznych objętych ofertą sezonu ""Zima 2025/2026"", za okres od rozpoczęcia sprzedaży oferty do dnia 30 listopada 2025 r.",https://espiebi.pap.pl/node/708141
2025-12-09,15:11,129/2025,EQUES AKTYWNEGO INWESTOWANIA FIZ - RB_FI_E_30.04.18,https://espiebi.pap.pl/node/708140
2025-12-09,15:11,24/2025,PJP MAKRUM S.A. - Zarejestrowanie zmiany w Statucie Spółki,https://espiebi.pap.pl/node/708139
2025-12-09,15:08,128/2025,EQUES AKTYWNEGO INWESTOWANIA FIZ - WCI-E_30.04.18,https://espiebi.pap.pl/node/708138
2025-12-09,15:06,128/2025,EQUES AKTYWNEGO INWESTOWANIA FIZ - WCI-E_30.04.18,https://espiebi.pap.pl/node/708137
2025-12-09,15:03,9/2025,KLON S.A. - Ogłoszenie o zwołaniu Nadzwyczajnego Walnego Zgromadzenia na dzień 09 stycznia 2026r. wraz  projektami uchwał.,https://espiebi.pap.pl/node/708136
2025-12-09,15:03,248/2025,BETA ETF NASDAQ-100 2 x SHORT PORTFELOWY FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/708135
2025-12-09,15:01,115/2025,EQUES AKCJI SEKTORA PRYWATNEGO FIZ - RB_FI_E_30.04.18,https://espiebi.pap.pl/node/708134
2025-12-09,14:58,114/2025,EQUES AKCJI SEKTORA PRYWATNEGO FIZ - WCI-E_30.04.18,https://espiebi.pap.pl/node/708133
2025-12-09,14:56,56/2025,"PUŁAWY - Zawarcie aneksu do umowy z Lubelskim Węglem ""Bogdanka"" S.A.",https://espiebi.pap.pl/node/708132
2025-12-09,14:53,48/2025,DADELO S.A. - Informacja o transakcjach uzyskana w trybie art. 19 MAR,https://espiebi.pap.pl/node/708131
2025-12-09,14:53,2/2025,"Klon SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/643302
2025-12-09,14:52,248/2025,BETA ETF S&P 500 PLN-HEDGED PORTFELOWY FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/708130
2025-12-09,14:42,248/2025,BETA ETF WIG20short PORTFELOWY FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/708129
2025-12-09,14:41,47/2025,DADELO S.A. - Informacja o transakcjach uzyskana w trybie art. 19 MAR,https://espiebi.pap.pl/node/708128
2025-12-09,14:41,32/2025,ALLEGRO.EU S.A. - Zawiadomienia o znacznym pakiecie akcji,https://espiebi.pap.pl/node/708127
2025-12-09,14:39,11/2025,PBS Finanse SA - Obwieszczenie o przetargu,https://espiebi.pap.pl/node/708126
2025-12-09,14:34,26/2025,"LW BOGDANKA S.A. - Zawarcie aneksu do umowy z Grupą Azoty Zakłady Azotowe ""Puławy"" S.A.",https://espiebi.pap.pl/node/708125
2025-12-09,14:24,1/2025,Platige Image SA - Podpisanie przez emitenta z firmą audytorską umowy o badanie sprawozdań finansowych lub skonsolidowanych sprawozdań finansowych emitenta,https://espiebi.pap.pl/node/643301
2025-12-09,14:16,123/2025,PKP CARGO S.A. W RESTRUKTURYZACJI - Zmiana w porządku obrad Nadzwyczajnego Walnego Zgromadzenia PKP CARGO S.A. w restrukturyzacji wprowadzona na żądanie akcjonariusza wraz z projektem uchwały,https://espiebi.pap.pl/node/708124
2025-12-09,14:09,39/2025,"LENTEX - Powzięcie przez Spółkę informacji o wydaniu wyroku w sprawie z powództwa akcjonariusza Spółki przeciwko Spółce, dotyczącego zaskarżenia Uchwały nr 6 Zwyczajnego Walnego Zgromadzenia Spółki z dnia 31 maja 2023 r.",https://espiebi.pap.pl/node/708123
2025-12-09,14:07,20/2025,FUNDUSZ HIPOTECZNY DOM S.A. - Wykaz akcjonariuszy posiadających co najmniej 5% liczby głosów na NWZ w dniu 09-12-2025r.,https://espiebi.pap.pl/node/708122
2025-12-09,14:06,36/2025,IMS S.A. - Rezygnacja Członka Rady Nadzorczej,https://espiebi.pap.pl/node/708121
2025-12-09,14:01,1/2025,Fundusz Hipoteczny Dom SA - Informacje o walnym zgromadzeniu - treść uchwał podjętych przez WZ (w tym informacje o ogłoszeniu przerwy w obradach),https://espiebi.pap.pl/node/643299
2025-12-09,13:57,1/2025,Munar Pharma SA - Podpisanie przez emitenta z firmą audytorską umowy o badanie sprawozdań finansowych lub skonsolidowanych sprawozdań finansowych emitenta,https://espiebi.pap.pl/node/643298
2025-12-09,13:55,108/2025,BETA ETF DYWIDENDA PLUS PORTFELOW FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/708120
2025-12-09,13:49,1/2025,Ulma Construccion Polska SA - Informacja o stanie stosowania Dobrych Praktyk 2021,https://espiebi.pap.pl/node/643297
2025-12-09,13:44,35/2025,KOGENERA - Rejestracja zmian Statutu Spółki,https://espiebi.pap.pl/node/708119
2025-12-09,13:42,2/2025,Sevenet SA - Decyzja o wypłacie dywidendy oraz informacje dotyczące dywidendy,https://espiebi.pap.pl/node/643296
2025-12-09,13:39,36/2025,DIGITAL NETWORK S.A. - Powiadomienie w trybie art.19 ust.3 MAR o transakcji zakupu akcji przez osobę blisko związaną z osobą pełniącą obowiązki zarządcze,https://espiebi.pap.pl/node/708118
2025-12-09,13:35,248/2025,BETA ETF WIG20lev PORTFELOWY FIZ - WANCI-E_30.04.18,https://espiebi.pap.pl/node/708117
2025-12-09,13:32,1/2025,Sevenet SA - Informacje o walnym zgromadzeniu - treść uchwał podjętych przez WZ (w tym informacje o ogłoszeniu przerwy w obradach),https://espiebi.pap.pl/node/643295
