date,hour,number,title,link
2026-03-11,23:50,9/2026,ALLEGRO.EU S.A. - Planowane zmiany w Radzie Dyrektorów Allegro.eu i zarządzie Allegro sp. z o.o.,https://espiebi.pap.pl/node/716693
2026-03-11,23:24,3/2026,ABS Investment ASI SA - Raport roczny,https://espiebi.pap.pl/node/644697
2026-03-11,23:02,9/2026,Honey Payment Group SA - Powołanie osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/644696
2026-03-11,23:01,8/2026,Honey Payment Group SA - Odwołanie lub rezygnacja osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/644695
2026-03-11,21:43,9/2026,Emplocity SA - Odwołanie lub rezygnacja osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/644694
2026-03-11,21:02,2/2026,Arts Alliance S.A. - Nabycie udziałów spółki NOMA Level UP! Sp. z o.o.,https://espiebi.pap.pl/node/716692
2026-03-11,20:58,1/2026,Arts Alliance S.A. - Nabycie akcji spółki EpicVR S.A.,https://espiebi.pap.pl/node/716691
2026-03-11,20:47,3/2026,NOVINA S.A. - Otrzymanie zawiadomienia sporządzonego na podstawie art. 19 MAR,https://espiebi.pap.pl/node/716690
2026-03-11,20:42,6/2026,"Novina pozyczkihipoteczne.eu SA - Zakończenie subskrypcji lub sprzedaży, związanej z wprowadzeniem instrumentów finansowych emitenta do obrotu w alternatywnym systemie",https://espiebi.pap.pl/node/644693
2026-03-11,19:17,7/2026,ORLEN S.A. - Zdarzenia jednorazowe wpływające istotnie na wyniki Grupy ORLEN za 2025 rok,https://espiebi.pap.pl/node/716689
2026-03-11,19:16,7/2026,KRUK S.A. - Informacja o transakcjach uzyskana w trybie art. 19 MAR,https://espiebi.pap.pl/node/716688
2026-03-11,19:14,4/2026,Grupa Azoty SA - Informacja dotycząca incydentalnego naruszenia Dobrych Praktyk 2021,https://espiebi.pap.pl/node/644691
2026-03-11,19:07,16/2026,GRUPA AZOTY SA - Zgłoszenie projektu uchwały NWZ przez Akcjonariusza.,https://espiebi.pap.pl/node/716687
2026-03-11,18:30,17/2026,Euvic S.A. - Uruchomienie dodatkowego finansowania poręczonego przez Euvic Solutions S.A. oraz Euvic IT S.A. celem realizacji zamówienia rozwiązania NVIDIA do budowy fabryki AI.,https://espiebi.pap.pl/node/716686
2026-03-11,18:07,4/2026,President Studio SA - Raport roczny,https://espiebi.pap.pl/node/644690
2026-03-11,18:02,7/2026,MANGATA HOLDING SA - Rezygnacja Pana Jacka Osowskiego z członkostwa w Radzie Nadzorczej MANGATA HOLDING S.A.,https://espiebi.pap.pl/node/716685
2026-03-11,17:53,13/2026,KETY - Rejestracja akcji serii L w depozycie papierów wartościowych i podwyższenie kapitału zakładowego Spółki,https://espiebi.pap.pl/node/716684
2026-03-11,17:39,51/2026,MONNARI TRADE S.A. - Skup akcji własnych,https://espiebi.pap.pl/node/716683
2026-03-11,17:37,8/2026,ALLEGRO.EU S.A. - Rada Dyrektorów rekomenduje walnemu zgromadzeniu skup akcji własnych w oparciu o Politykę Alokacji Kapitału Grupy,https://espiebi.pap.pl/node/716682
2026-03-11,17:27,7/2026,ALLEGRO.EU S.A. - Podjęcie uchwał w sprawie połączenia Allegro.eu oraz Allegro Treasury S. r.l.,https://espiebi.pap.pl/node/716681
2026-03-11,17:26,8/2026,LSI SOFTWARE S.A. - Zaproszenie do składania ofert sprzedaży akcji LSI Software S.A.,https://espiebi.pap.pl/node/716680
2026-03-11,17:20,10/2026,ENERGA S.A. - Informacja o wynikach testów na utratę wartości,https://espiebi.pap.pl/node/716679
2026-03-11,17:14,5/2026,CREEPY JAR S.A. - Intencja Zarządu odnośnie wypłaty dywidendy za rok 2025,https://espiebi.pap.pl/node/716678
2026-03-11,17:12,4/2026,CREEPY JAR S.A. - Wstępne wybrane dane finansowe za rok 2025,https://espiebi.pap.pl/node/716677
