date,hour,number,title,link
2026-06-18,22:58,2/2026,Grupa Corpus Iuris S.A. - Informacja o zawarciu znaczącej umowy,https://espiebi.pap.pl/node/725461
2026-06-18,22:43,12/2026,"Grupa Klepsydra SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/646916
2026-06-18,22:17,44/2026,PROTEKTOR - Zawiadomienie o zawarciu umowy istotnej,https://espiebi.pap.pl/node/725460
2026-06-18,22:17,7/2026,Honey Payment Group S.A. - Złożenie wniosku o ponowne rozpoznanie sprawy w przedmiocie wykluczenia akcji Spółki z obrotu na rynku NewConnect,https://espiebi.pap.pl/node/725459
2026-06-18,21:27,15/2026,Carlson Investments SE - Nałożenie na emitenta kary pieniężnej lub innego środka dyscyplinującego przez Organizatora Alternatywnego Systemu lub nałożeniu sankcji administracyjnej,https://espiebi.pap.pl/node/646915
2026-06-18,21:06,11/2026,"Grupa Klepsydra SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/646914
2026-06-18,20:52,7/2026,GRUPA KLEPSYDRA S.A. - Zwołanie Zwyczajnego Walnego Zgromadzenia Emitenta na dzień 15 lipca 2026 roku,https://espiebi.pap.pl/node/725458
2026-06-18,20:45,6/2026,GRUPA KLEPSYDRA S.A. - Pozytywna ocena Rady Nadzorczej Grupa Klepsydra S.A. dotycząca wniosku Zarządu w sprawie podziału zysku netto za rok obrotowy 2025 oraz wypłaty dywidendy,https://espiebi.pap.pl/node/725457
2026-06-18,20:08,5/2026,GRUPA KLEPSYDRA S.A. - Rekomendacja Zarządu Grupa Klepsydra S.A. w sprawie podziału zysku netto za rok obrotowy 2025 oraz wypłaty dywidendy,https://espiebi.pap.pl/node/725456
2026-06-18,20:07,19/2026,RAINBOW TOURS S.A. - Powołanie osób zarządzających wchodzących w skład Zarządu Spółki nowej kadencji,https://espiebi.pap.pl/node/725455
2026-06-18,19:57,10/2026,Grupa Klepsydra SA - Nałożenie na emitenta kary pieniężnej lub innego środka dyscyplinującego przez Organizatora Alternatywnego Systemu lub nałożeniu sankcji administracyjnej,https://espiebi.pap.pl/node/646913
2026-06-18,19:25,31/2026,BEST - Zwyczajne Walne Zgromadzenie BEST S.A. - uzupełnienie materiałów,https://espiebi.pap.pl/node/725454
2026-06-18,19:18,30/2026,BEST - Informacje o transakcjach uzyskane w trybie art. 19 ust. 3 Rozporządzenia MAR,https://espiebi.pap.pl/node/725453
2026-06-18,19:07,27/2026,PGE POLSKA GRUPA ENERGETYCZNA S.A. - Treść uchwał podjętych przez Zwyczajne Walne Zgromadzenie PGE Polska Grupa Energetyczna S.A. w dniu 18 czerwca 2026 r.,https://espiebi.pap.pl/node/725452
2026-06-18,19:06,5/2026,MR HAMBURGER S.A. - Zawiadomienia akcjonariuszy w trybie art. 69 ustawy o ofercie,https://espiebi.pap.pl/node/725451
2026-06-18,19:03,7/2026,FEERUM S.A. - Otrzymanie zawiadomień na podstawie art. 69 ustawy o ofercie publicznej,https://espiebi.pap.pl/node/725450
2026-06-18,18:55,7/2026,"Frozen Way S.A. - Ustalenie daty premiery gry ""House Flipper Remastered Collection"" na konsole",https://espiebi.pap.pl/node/725449
2026-06-18,18:55,6/2026,FEERUM S.A. - Informacja o transakcjach na akcjach Emitenta uzyskana w trybie art. 19 MAR,https://espiebi.pap.pl/node/725448
2026-06-18,18:53,26/2026,PGE POLSKA GRUPA ENERGETYCZNA S.A. - Powołanie członków Rady Nadzorczej,https://espiebi.pap.pl/node/725447
2026-06-18,18:49,27/2026,ENERGY S.A. - Otrzymanie zlecenia na wykonanie instalacji fotowoltaicznych,https://espiebi.pap.pl/node/725446
2026-06-18,18:29,7/2026,HIGHLANDER ENTERPRISE S.A. - Transakcja zrealizowana przez osobę pełniącą obowiązki zarządcze,https://espiebi.pap.pl/node/725445
2026-06-18,18:01,1/2026,PZU SA - Informacja dotycząca incydentalnego naruszenia Dobrych Praktyk 2021,https://espiebi.pap.pl/node/646912
2026-06-18,17:56,19/2026,POLIMEX-MOSTOSTAL - Wykaz akcjonariuszy posiadających co najmniej 5% liczby głosów na ZWZ Spółki.,https://espiebi.pap.pl/node/725444
2026-06-18,17:51,13/2026,DOM DEVELOPMENT S.A. - Uchwały podjęte przez Zwyczajne Walne Zgromadzenie Dom Development S.A. w dniu 18 czerwca 2026 roku,https://espiebi.pap.pl/node/725443
2026-06-18,17:48,19/2026,PZU SA - Wykaz akcjonariuszy posiadających co najmniej 5% liczby głosów na Zwyczajnym Walnym Zgromadzeniu PZU SA w dniu 18 czerwca 2026 roku,https://espiebi.pap.pl/node/725442
2026-06-18,17:45,18/2026,POLIMEX-MOSTOSTAL - Powołanie Rady Nadzorczej na nową kadencję.,https://espiebi.pap.pl/node/725441
2026-06-18,17:43,18/2026,PZU SA - Treść uchwał podjętych przez Zwyczajne Walne Zgromadzenie PZU SA,https://espiebi.pap.pl/node/725440
2026-06-18,17:42,27/2026,KETY - Uchwała Zwyczajnego Walnego Zgromadzenia Grupy Kęty S.A. w sprawie wypłaty dywidendy,https://espiebi.pap.pl/node/725439
2026-06-18,17:39,12/2026,DOM DEVELOPMENT S.A. - Powołanie Członków Zarządu Dom Development S.A.,https://espiebi.pap.pl/node/725438
2026-06-18,17:38,26/2026,KETY - Wykaz akcjonariuszy posiadających co najmniej 5% liczby głosów na Zwyczajnym Walnym Zgromadzeniu Grupy Kęty S.A.,https://espiebi.pap.pl/node/725437
2026-06-18,17:35,,FAST FINANCE S.A. - Skonsolidowany raport półroczny  PS,https://espiebi.pap.pl/node/725436
2026-06-18,17:34,25/2026,KETY - Treść uchwał podjętych przez Zwyczajne Walne Zgromadzenie Grupy Kęty S.A.,https://espiebi.pap.pl/node/725435
2026-06-18,17:31,11/2026,DOM DEVELOPMENT S.A. - Powołanie Członków Rady Nadzorczej Dom Development S.A.,https://espiebi.pap.pl/node/725434
2026-06-18,17:30,9/2026,FAST FINANCE S.A. - Korekta skonsolidowanego raportu półrocznego za I półrocze 2023 r.,https://espiebi.pap.pl/node/725433
2026-06-18,17:29,17/2026,POLIMEX-MOSTOSTAL - Treść uchwał podjętych przez ZWZ Spółki.,https://espiebi.pap.pl/node/725432
2026-06-18,17:27,29/2026,Euvic S.A. - Podjęcie przez NWZ Euvic S.A. uchwał o podwyższeniu kapitału w celu konsolidacji rynku oraz rozszerzenia grupy kapitałowej.,https://espiebi.pap.pl/node/725431
2026-06-18,17:26,48/2026,PKP CARGO S.A. W RESTRUKTURYZACJI - Powiadomienie o transakcjach na akcjach Emitenta uzyskane w trybie art. 19 MAR,https://espiebi.pap.pl/node/725430
2026-06-18,17:21,18/2016,PARTNER-NIERUCHOMOŚCI S.A. - Zawiadomienie o zmianie stanu posiadania akcji Partner Aerospace _ Defense Group S.A.,https://espiebi.pap.pl/node/725429
2026-06-18,17:20,4/2026,PRIMEBIT GAMES S.A. - Ogłoszenie o zwołaniu Zwyczajnego Walnego Zgromadzenia na dzień 15 lipca 2026,https://espiebi.pap.pl/node/725428
2026-06-18,17:12,12/2026,ORZEŁ BIAŁY S.A. - Wykaz akcjonariuszy posiadających co najmniej 5% ogólnej liczby głosów na WZ Spółki Orzeł Biały S.A. w dniu 18.06.2026 r.,https://espiebi.pap.pl/node/725427
