date,hour,number,title,link
2026-08-17,23:22,55/2026,GRUPA VIRTUS S.A. - Zmiana terminu publikacji raportu za I półrocze 2026 roku,https://espiebi.pap.pl/node/734866
2026-08-17,22:36,32/2026,ORLEN S.A. - Rejestracja zmian do Statutu ORLEN S.A.,https://espiebi.pap.pl/node/734865
2026-08-17,21:53,37/2026,"NANOGROUP S.A. - Treść dokumentów, które mają być przedmiotem obrad Nadzwyczajnego Walnego Zgromadzenia zwołanego na 26 sierpnia 2026 r., istotnych dla podejmowanych uchwał, które nie zostały uprzednio podane do publicznej wiadomości",https://espiebi.pap.pl/node/734864
2026-08-17,21:05,48/2026,PEKABEX - Zbycie akcji emitenta przez osobę blisko związaną z osobą pełniącą obowiązki zarządcze,https://espiebi.pap.pl/node/734863
2026-08-17,20:32,20/2026,G-Devs SA - Powołanie osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/734862
2026-08-17,18:50,5/2026,Resi Capital S.A. - Emisja obligacji Spółki serii F w ramach I Bezprospektowego Programu Emisji Obligacji,https://espiebi.pap.pl/node/734861
2026-08-17,18:45,124/2026,MONNARI TRADE S.A. - Skup akcji własnych,https://espiebi.pap.pl/node/734860
2026-08-17,18:17,20/2026,MBWS - MONTHLY DECLARATION OF THE TOTAL NUMBER OF VOTING RIGHTS AND SHARES,https://espiebi.pap.pl/node/734859
2026-08-17,17:28,4/2025,ELKOP - Raport kwartalny   Q,https://espiebi.pap.pl/node/734858
2026-08-17,17:20,16/2026,GEOTRANS S.A. - Wybór ofert najkorzystniejszych w postępowaniu przetargowym,https://espiebi.pap.pl/node/734857
2026-08-17,17:03,53/2026,UNIBEP S.A. - Wybór oferty Unibep S.A. w postępowaniu przetargowym na budowę farmy kolektorów słonecznych ze zintegrowanym magazynem ciepła w Elektrociepłowni Łąkowa w Grudziądzu,https://espiebi.pap.pl/node/734856
2026-08-17,17:00,27/2026,"THE FARM 51 GROUP S.A. - Aktualny stan postępowań dotyczących zastawów rejestrowych na autorskich prawach majątkowych do gier ""Chernobylite 1"" oraz ""Chernobylite 2"" w związku z postępowaniem restrukturyzacyjnym",https://espiebi.pap.pl/node/734855
2026-08-17,16:57,37/2026,BEST - Podsumowanie oferty obligacji serii AF3,https://espiebi.pap.pl/node/734854
2026-08-17,16:31,80/2026,EQUES AKCJI SEKTORA PRYWATNEGO FIZ - RB_FI_E_30.04.18,https://espiebi.pap.pl/node/734853
2026-08-17,16:13,26/2026,"ROBYG S.A. - Podjęcie uchwał GPW w sprawie wprowadzenia Akcji Serii B do obrotu na rynku regulowanym oraz ustalenia dnia ich pierwszego notowania na tym rynku, a także w sprawie wyznaczenia ostatniego dnia notowań PDA.",https://espiebi.pap.pl/node/734852
2026-08-17,16:01,10/2026,REMOR SOLAR S.A. - Zawarcie dwóch umów na dostawę i montaż konstrukcji dla farm fotowoltaicznych na terenie Niemiec,https://espiebi.pap.pl/node/734851
2026-08-17,15:52,33/2026,QUERCUS TFI S.A. - Informacja o transakcji uzyskana w trybie art. 19 ust. 1 rozporządzenia MAR,https://espiebi.pap.pl/node/734850
2026-08-17,15:32,13/2026,GRUPA PRACUJ S.A. - Zmiana terminu publikacji raportu okresowego za I półrocze 2026 r.,https://espiebi.pap.pl/node/734849
2026-08-17,15:27,18/2026,KRYNICA VITAMIN S.A. - Decyzja o zaniechaniu wdrożenia nowego systemu ERP oraz o odpisie części nakładów inwestycyjnych,https://espiebi.pap.pl/node/734848
2026-08-17,15:26,24/2026,INTROL S.A. - Projekty uchwał Nadzwyczajnego Walnego Zgromadzenia INTROL S.A. zwołanego na dzień 14 września 2026 r.,https://espiebi.pap.pl/node/734847
2026-08-17,15:22,25/2026,ASSECO POLAND - Nadzwyczajne Walne Zgromadzenie Asseco Poland S.A. - Znaczący akcjonariusze,https://espiebi.pap.pl/node/734846
2026-08-17,15:18,20/2026,VRG S.A. - Skup akcji własnych - zmiana harmonogramu w Zaproszeniu do składania ofert sprzedaży akcji VRG S.A.,https://espiebi.pap.pl/node/734845
2026-08-17,15:07,18/2026,VARSAV GAME STUDIOS S.A. - Uruchomienie karty gry BARKOUR w PlayStation Store,https://espiebi.pap.pl/node/734844
2026-08-17,15:02,23/2026,INTROL S.A. - Porządek obrad Nadzwyczajnego Walnego Zgromadzenia INTROL S.A. zwołanego na dzień 14 września 2026 r.,https://espiebi.pap.pl/node/734843
2026-08-17,14:58,20/2026,PCC EXOL S.A. - Wykaz akcjonariuszy posiadających co najmniej 5% liczby akcji na NWZ w dniu 17 sierpnia 2026 r.,https://espiebi.pap.pl/node/734842
