date,hour,number,title,link
2026-04-15,22:44,,TESGAS S.A. - Skonsolidowany raport roczny  SRR,https://espiebi.pap.pl/node/719214
2026-04-15,22:42,,TESGAS S.A. - RR,https://espiebi.pap.pl/node/719213
2026-04-15,22:10,11/2026,MENNICA - Zawarcie umowy kredytowej przez spółkę zależną od Emitenta,https://espiebi.pap.pl/node/719212
2026-04-15,22:10,9/2026,GTC - Zmiana kalendarza raportów okresowych w 2026 roku,https://espiebi.pap.pl/node/719211
2026-04-15,22:09,10/2026,MENNICA - Wyrażenie zgody przez walne zgromadzenie spółki zależnej od Emitenta na skup akcji własnych w celu umorzenia,https://espiebi.pap.pl/node/719210
2026-04-15,21:55,,IPOPEMA BENEFIT 3 FIZ AN - R,https://espiebi.pap.pl/node/719209
2026-04-15,21:43,,IPOPEMA EKOLOGII I INNOWACJI FIZ - R,https://espiebi.pap.pl/node/719208
2026-04-15,21:27,,PGE POLSKA GRUPA ENERGETYCZNA S.A. - SPS,https://espiebi.pap.pl/node/719207
2026-04-15,21:15,,PGE POLSKA GRUPA ENERGETYCZNA S.A. - RR,https://espiebi.pap.pl/node/719206
2026-04-15,21:03,,PGE POLSKA GRUPA ENERGETYCZNA S.A. - Skonsolidowany raport roczny  SRR,https://espiebi.pap.pl/node/719205
2026-04-15,20:18,13/2026,ORLEN S.A. - Zaktualizowany budżet projektu Nowa Chemia,https://espiebi.pap.pl/node/719204
2026-04-15,20:15,9/2026,TENDERHUT S.A. - Informacja o szacunkowych skonsolidowanych przychodach ze sprzedaży w marcu 2026 roku oraz szacunkowych skonsolidowanych przychodach ze sprzedaży w okresie styczeń - marzec 2026 roku,https://espiebi.pap.pl/node/719203
2026-04-15,20:10,7/2026,7R/7R Spółka Akcyjna - Zmiana harmonogramu publikacji raportów okresowych,https://espiebi.pap.pl/node/645196
2026-04-15,20:06,7/2026,"Ruch Chorzów SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/645194
2026-04-15,20:06,4/2026,WOODPECKER.CO S.A. - Wybrane szacunkowe kwartalne dane finansowe,https://espiebi.pap.pl/node/719202
2026-04-15,20:02,26/2026,PROTEKTOR - Rejestracja zmiany Statutu Spółki,https://espiebi.pap.pl/node/719201
2026-04-15,20:02,6/2026,Medard SA - Raport kwartalny za III kwartał,https://espiebi.pap.pl/node/645193
2026-04-15,19:54,,WOODPECKER.CO S.A. - RR,https://espiebi.pap.pl/node/719200
2026-04-15,19:51,3/2026,RUCH CHORZÓW S.A. - Zawarcie istotnej umowy,https://espiebi.pap.pl/node/719199
2026-04-15,19:28,,CREOTECH INSTRUMENTS S.A. - RR,https://espiebi.pap.pl/node/719198
2026-04-15,19:15,7/2026,RAINBOW TOURS S.A. - Otrzymanie przez Spółkę zawiadomienia o zmianie (zwiększeniu) udziału powyżej 15% ogólnej liczbie głosów na Walnym Zgromadzeniu Spółki przez fundusze zarządzane przez Nationale-Nederlanden PTE S.A.,https://espiebi.pap.pl/node/719197
2026-04-15,19:13,,MICHAEL/STRÖM OBLIGACJI KORPORACYJNYCH FIZ - R,https://espiebi.pap.pl/node/719196
2026-04-15,19:03,16/2026,SANOK RC SA - Rozliczenie transakcji nabycia akcji własnych - korekta raportu,https://espiebi.pap.pl/node/719195
2026-04-15,18:49,,MEX POLSKA S.A. - Skonsolidowany raport roczny  SRR,https://espiebi.pap.pl/node/719194
2026-04-15,18:49,,MEX POLSKA S.A. - RR,https://espiebi.pap.pl/node/719193
2026-04-15,18:33,,PHN S.A. - Skonsolidowany raport roczny  SRR,https://espiebi.pap.pl/node/719192
2026-04-15,18:31,,PHN S.A. - RR,https://espiebi.pap.pl/node/719191
2026-04-15,18:30,,ROCKBRIDGE FIZ MULTI INWESTYCJA - R,https://espiebi.pap.pl/node/719190
2026-04-15,18:29,6/2026,11 BIT STUDIOS S.A. - Wybór podmiotu uprawnionego do badania i przeglądu sprawozdań finansowych Spółki za lata 2026-2027,https://espiebi.pap.pl/node/719189
2026-04-15,18:27,5/2026,VIGO PHOTONICS S.A. - Informacja o przychodach osiągniętych w pierwszym kwartale 2026 r.,https://espiebi.pap.pl/node/719187
2026-04-15,18:27,,ROCKBRIDGE FIZ BI5 - R,https://espiebi.pap.pl/node/719188
2026-04-15,18:26,3/2026,"PCF GROUP S.A. - Zawarcie umowy wykonawczej (Statement of Work) wraz z ramową umową o świadczenie usług (Service Agreement) z 2K Games, Inc.",https://espiebi.pap.pl/node/719186
2026-04-15,18:23,,ROCKBRIDGE FIZ BI4 - R,https://espiebi.pap.pl/node/719185
2026-04-15,18:19,,ROCKBRIDGE FIZ BI2 - R,https://espiebi.pap.pl/node/719184
2026-04-15,18:05,11/2026,BANK PEKAO S.A. - Rezygnacja Członka Rady Nadzorczej Banku,https://espiebi.pap.pl/node/719183
2026-04-15,18:02,5/2026,"SELENA FM S.A. - Spełnienie warunków zawieszających umowy nabycia udziałów IRMOS GUIMARES MARTINS, SGPS, S.A.",https://espiebi.pap.pl/node/719182
2026-04-15,18:01,17/2026,BEST - Przydział osobom uprawnionym w ramach programu motywacyjnego warrantów subskrypcyjnych serii D3 za rok 2024,https://espiebi.pap.pl/node/719181
2026-04-15,17:56,6/2026,COMP - Zaproszenie do składania ofert sprzedaży akcji COMP SA,https://espiebi.pap.pl/node/719180
2026-04-15,17:47,16/2026,"BEST - Informacja o łącznej wartości nominalnej nabytych portfeli wierzytelności przez podmioty z Grupy Kapitałowej BEST S.A., koszcie nabycia nowych portfeli wierzytelności oraz wartości spłat z posiadanych portfeli wierzytelności w pierwszym kwartale 2026 roku.",https://espiebi.pap.pl/node/719179
2026-04-15,17:45,,SILVAIR INC - Skonsolidowany raport roczny  SRR,https://espiebi.pap.pl/node/719178
2026-04-15,17:35,16/2026,MICHAEL/STRÖM OBLIGACJI KORPORACYJNYCH FIZ - RB_FI_E_30.04.18,https://espiebi.pap.pl/node/719177
2026-04-15,17:34,1/2026,BANK POCZTOWY S.A. - Zwyczajne Walne Zgromadzenie Banku Pocztowego S.A.,https://espiebi.pap.pl/node/719176
2026-04-15,17:34,,COMP - Skonsolidowany raport roczny  SRR,https://espiebi.pap.pl/node/719175
2026-04-15,17:30,7/2026,BRAND24 S.A. - Wybrane dane operacyjne Grupy Kapitałowej Brand 24 za I kwartał 2026 r.,https://espiebi.pap.pl/node/719174
2026-04-15,17:17,5/2026,Kolejkowo S.A. - Informacja o przychodach netto ze sprzedaży Emitenta za 03.2026 r.,https://espiebi.pap.pl/node/719173
2026-04-15,17:12,,COMP - RR,https://espiebi.pap.pl/node/719172
2026-04-15,17:10,11/2026,MEDINICE S.A. - Zmiana terminu publikacji raportu kwartalnego za I kwartał 2026 r.,https://espiebi.pap.pl/node/719171
2026-04-15,17:09,15/2026,"PUŁAWY - Wykaz akcjonariuszy posiadających co najmniej 5% liczby głosów na Nadzwyczajnym Walnym Zgromadzeniu spółki Grupa Azoty Zakłady Azotowe ""Puławy"" S.A. w dniu 15 kwietnia 2026 roku.",https://espiebi.pap.pl/node/719170
2026-04-15,17:06,14/2026,"PUŁAWY - Uchwały podjęte przez Nadzwyczajne Walne Zgromadzenie spółki Grupa Azoty Zakłady Azotowe ""Puławy"" S.A. w dniu 15 kwietnia 2026 roku.",https://espiebi.pap.pl/node/719169
2026-04-15,17:05,25/2026,"POLICE - Powołanie Wiceprezesa Zarządu spółki Grupa Azoty Zakłady Chemiczne ""Police"" S.A.",https://espiebi.pap.pl/node/719168
2026-04-15,17:04,3/2026,GAMIVO S.A. - Lista Akcjonariuszy posiadających co najmniej 5% głosów na WZA w dniu 15 kwietnia 2026 r.,https://espiebi.pap.pl/node/719167
2026-04-15,17:04,6/2026,Shoper S.A. - Wnioski Zarządu co do podziału zysku Spółki za rok obrotowy 2025,https://espiebi.pap.pl/node/719166
2026-04-15,16:47,6/2026,Gamivo SA - Informacje o walnym zgromadzeniu - treść uchwał podjętych przez WZ (w tym informacje o ogłoszeniu przerwy w obradach),https://espiebi.pap.pl/node/645192
2026-04-15,16:45,3/2026,MedTech Solutions SA - Zmiana adresu emitenta lub adresu jego strony internetowej lub ostatniego wskazanego Organizatorowi Alternatywnego Systemu adresu e-mail emitenta,https://espiebi.pap.pl/node/645191
2026-04-15,16:44,5/2026,ULMA Construccion SA - Wstępne szacunki wybranych danych finansowych Grupy Kapitałowej w I kwartale 2026 r.,https://espiebi.pap.pl/node/719165
2026-04-15,16:41,8/2026,LENTEX - Rekomendacja Zarządu w sprawie podziału zysku Spółki za rok obrotowy 2025.,https://espiebi.pap.pl/node/719164
2026-04-15,16:35,12/2026,MOSTALZAB - Wniosek do Zwyczajnego Walnego Zgromadzenia w sprawie podziału zysku netto za 2025 rok oraz przeznaczenia części zysku netto MOSTOSTAL ZABRZE S.A. za 2025 rok na skup akcji własnych,https://espiebi.pap.pl/node/719163
2026-04-15,16:28,2/2026,MM CONFERENCES S.A. - Wykaz akcjonariuszy posiadających co najmniej 5% głosów na Zwyczajnego Walnym Zgromadzeniu Spółki w dniu 15 kwietnia 2026 r.,https://espiebi.pap.pl/node/719162
2026-04-15,16:20,39/2026,EQUES AKUMULACJI MAJĄTKU FIZ - Zatwierdzenie i opublikowanie Suplementu 4 do Prospektu,https://espiebi.pap.pl/node/719161
2026-04-15,16:17,39/2026,EQUES AKTYWNEGO INWESTOWANIA FIZ - Zatwierdzenie i opublikowanie Suplementu 4 do Prospektu,https://espiebi.pap.pl/node/719160
2026-04-15,16:15,6/2026,MM Conferences SA - Informacje o walnym zgromadzeniu - treść uchwał podjętych przez WZ (w tym informacje o ogłoszeniu przerwy w obradach),https://espiebi.pap.pl/node/645190
2026-04-15,16:15,27/2026,SANTANDER BANK POLSKA SA - Zwyczajne Walne Zgromadzenie Santander Bank Polska S.A. - wykaz akcjonariuszy posiadających co najmniej 5% liczby głosów,https://espiebi.pap.pl/node/719159
2026-04-15,16:14,38/2026,EQUES AKCJI SEKTORA PRYWATNEGO FIZ - Zatwierdzenie i opublikowanie Suplementu 4 do Prospektu,https://espiebi.pap.pl/node/719158
2026-04-15,16:14,27/2026,SANTANDER BANK POLSKA SA - Zwyczajne Walne Zgromadzenie Santander Bank Polska S.A. - wykaz akcjonariuszy posiadających co najmniej 5% liczby głosów,https://espiebi.pap.pl/node/719157
2026-04-15,16:08,5/2026,"VEE S.A. - Dane o działalności handlowej - wskaźnik MPC, marzec 2026",https://espiebi.pap.pl/node/719156
2026-04-15,15:57,26/2026,SANTANDER BANK POLSKA SA - Treść uchwał podjętych przez Zwyczajne Walne Zgromadzenie Santander Bank Polska S.A.,https://espiebi.pap.pl/node/719155
2026-04-15,15:56,26/2026,SANTANDER BANK POLSKA SA - Treść uchwał podjętych przez Zwyczajne Walne Zgromadzenie Santander Bank Polska S.A.,https://espiebi.pap.pl/node/719154
2026-04-15,15:51,8/2026,Analizy Online SA - Korekta raportu okresowego,https://espiebi.pap.pl/node/645189
2026-04-15,15:49,23/2026,Euvic S.A. - Udzielenie poręczenia przez Euvic S.A. za zobowiązania spółki zależnej Euvic Solutions S.A.,https://espiebi.pap.pl/node/719153
2026-04-15,15:46,10/2026,ATENDE S.A. - Powiadomienie o transakcjach na akcjach Atende S.A.,https://espiebi.pap.pl/node/719152
2026-04-15,15:40,8/2026,WIRTUALNA POLSKA HOLDING S.A. - Spełnienie się warunku zawieszającego transakcji zbycia 100% udziałów w Invia Flights Germany GmbH przez spółkę zależną Emitenta,https://espiebi.pap.pl/node/719151
2026-04-15,15:37,7/2026,"LENTEX - Powzięcie przez Spółkę informacji o wydaniu wyroku oddalającego powództwo akcjonariusza Spółki przeciwko Spółce, dotyczące zaskarżenia Uchwały nr 11 Zwyczajnego Walnego Zgromadzenia Spółki z dnia 20 maja 2025 r.",https://espiebi.pap.pl/node/719150
2026-04-15,15:31,12/2026,POLIMEX-MOSTOSTAL - Wydanie akcji zwykłych na okaziciela serii S i zmiana wysokości kapitału zakładowego.,https://espiebi.pap.pl/node/719149
2026-04-15,15:24,34/2026,BETA ETF MWIG40TRsh PORTFELOWY FIZ - Raport bieżący nr 34 / 2026,https://espiebi.pap.pl/node/719148
2026-04-15,15:22,8/2026,EKO EXPORT S.A. - Zmiana terminu przekazania raportów okresowych.,https://espiebi.pap.pl/node/719147
