date,hour,number,title,link
2026-03-09,22:37,3/2026,Apollo Capital ASI SA - Zmiana harmonogramu publikacji raportów okresowych,https://espiebi.pap.pl/node/644670
2026-03-09,21:53,8/2026,WIELTON S.A. - Ogłoszenie o zwołaniu Nadzwyczajnego Walnego Zgromadzenia Wielton S.A. na dzień 7 kwietnia 2026 r. wraz z projektami uchwał,https://espiebi.pap.pl/node/716534
2026-03-09,21:44,7/2026,FoodHub S.A. - Dopuszczenie i wprowadzenie akcji serii F Spółki do obrotu giełdowego na Głównym Rynku GPW,https://espiebi.pap.pl/node/716533
2026-03-09,21:40,12/2026,POLICE - Zaspokojenie Instytucji Finansowych Spółki Stowarzyszonej.,https://espiebi.pap.pl/node/716532
2026-03-09,21:38,7/2026,GRUPA VIRTUS S.A. - Rezygnacja osoby nadzorującej,https://espiebi.pap.pl/node/716531
2026-03-09,21:36,14/2026,GRUPA AZOTY SA - Zaspokojenie Instytucji Finansowych Spółki Zależnej.,https://espiebi.pap.pl/node/716530
2026-03-09,21:12,9/2026,MILTON ESSEX S.A. - Zawarcie aneksu do umowy inwestycyjnej z Sanford Biotech Sp. z o.o. dotyczącego  zasad przeniesienia praw własności intelektualnej,https://espiebi.pap.pl/node/716529
2026-03-09,20:36,11/2026,3R Games S.A. - Premiera Backer Pack DLC na PSVR2,https://espiebi.pap.pl/node/716528
2026-03-09,20:28,6/2026,Milton Essex SA - Powołanie osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/644669
2026-03-09,20:25,7/2026,WIELTON S.A. - Powiadomienia o transakcjach osoby blisko związanej z osobami pełniącymi obowiązki zarządcze,https://espiebi.pap.pl/node/716527
2026-03-09,20:08,3/2026,Rocca SA - Podpisanie przez emitenta z firmą audytorską umowy o badanie sprawozdań finansowych lub skonsolidowanych sprawozdań finansowych emitenta,https://espiebi.pap.pl/node/644668
2026-03-09,19:50,3/2026,CONSTANCE CARE S.A. - Informacja o podjęciu uchwały o udzieleniu zgody przez Zarząd  w sprawie,https://espiebi.pap.pl/node/716526
2026-03-09,19:47,9/2026,EUROTEL S.A. - Zmiany w strukturze własności znacznych pakietów akcji Eurotel SA,https://espiebi.pap.pl/node/716525
2026-03-09,19:34,7/2026,"BIOCELTIX S.A. - Złożenie wniosku o pozwolenie na budowę dla inwestycji pn. ""Wytwórnia biologicznych leków weterynaryjnych""",https://espiebi.pap.pl/node/716524
